2050;Crude_oil;Liquid_fuels;Gas_fuels;Solid_fuels;Elec_heating;Steel_Iron;NonFerrousMetals;Cement;OthMin;ChemicalPharma;Paper;Auto_indus;OthEquip;Electronics;Food_industry;OthManuf;LandTransp;NavalTransp;AirTransp;AgriForest_Fish;Construction;Property_business;Compo;C;G;I;X;Tot_uses;Y;M
Crude_oil;0;36715.6187151394;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;732.929146774399;36508.7800342119
Liquid_fuels;99.8602710144927;1427.62128227222;0;0;1248.618345;1008.15561048903;666.034526920197;147.744031376567;94.2620202326786;1238.35627812347;0;131.999215407195;53.7228445842955;54.2318114834111;28.4535921254336;445.795154171728;5878.38120057435;3648.60536893308;10261.789473221;2320.75383873884;817.022551552689;1.53306220858896;503.38839202454;9090.47852302083;0;0;0;0;43768.7793125898;2524.65097693041
Gas_fuels;25.813953439687;1159.4571209191;630;0;2658.51466557017;217.395498586569;229.463657755916;0;320.281898267775;1907.65368348271;723.599714114709;270.983552645706;111.603592997905;51.0664213063636;2213.45343857388;419.775085344583;1188.02142332119;4.111257918531;18.3415057098259;255.429813170263;463.894387615633;704.902208875;5344.70312125;5193.78099848714;0;0;0;0;8276.61514461538;205784.042732308
Solid_fuels;0;2272.00704068933;430;227.664803851175;1593.95796167665;3411.81793640058;0.461655776872999;121.58581508692;25.101898683744;184.850390277819;27.8632637770169;37.3266298218185;11.158939241739;5.57687950697268;222.878257037849;45.8429419134525;0;0;0;1.90583027594235;113.664896336925;0.322523529411765;139.955441176471;43.6610669853918;0;0;0;0;4134.88508616188;4517.27011192214
Elec_heating;22.9901799869576;273.331972331259;70;0;806.372409387484;176.729223381475;716.224598623397;315.732435742802;218.361968071787;2074.02962751963;805.891875628184;606.39812141652;315.703244538993;151.63734194385;1744.04940142939;1246.48600660785;2170.1813631775;17.4452721170887;0;434.035379055232;969.402999132399;415.403906532528;14797.1583420523;24504.8741028708;0;0;0;0;55539.4778601715;0
Steel_Iron;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18194.33996701;0
NonFerrousMetals;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;25503.9772975069;0
Cement;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6065.26333320843;0
OthMin;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;27998.1080289695;0
ChemicalPharma;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;92194.0085364715;0
Paper;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22385.6558412131;0
Auto_indus;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;71904.1475419746;0;0;0;0;196559.486852391;0
OthEquip;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;78076.3125950929;0
Electronics;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;34619.7121674691;0
Food_industry;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;164780.449064682;0
OthManuf;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;284580.200539723;0
LandTransp;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;41539;0;0;0;0;140130.048489612;0
NavalTransp;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;43440.4895034668;0
AirTransp;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11010;0;0;0;0;35522.1415725219;0
AgriForest_Fish;0;0;0;2676.82579282972;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;74305.0679077483;0
Construction;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;503154.57785939;0
Property_business;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;246357.145761688;0;0;0;0;487759.102778095;0
Compo;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3593629.24964918;0
ktoe;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
