;2030;2040;2050
Crude_oil;0.0774692090222339;0.0851947831976313;0.093690786
Liquid_fuels;0.0119031974898552;0.0119031974898552;0.014395654
Gas_fuels;0.00835591050253333;0.00835591050253333;0.0151858056
Solid_fuels;0.0045661;0.0045661;0.0045661
Elec_heating;0.1022858;0.1022858;0.15
Steel_Iron;0.055073896741574;0.055073896741574;0.06045205
NonFerrousMetals;0.0458545746548067;0.0458545746548067;0.048566149
Cement;0.0850275447593713;0.0850275447593713;0.094409757
OthMin;0.0454608922162031;0.0454608922162031;0.050477193
ChemicalPharma;0.0582563605985851;0.0582563605985851;0.0734256235
Paper;0.0718250121349405;0.0718250121349405;0.073254424
Auto_indus;0.0638225608419392;0.0638225608419392;0.067182588
OthEquip;0.028474191928995;0.028474191928995;0.030525777
Electronics;0.178049974161683;0.178049974161683;0.190878597
Food_industry;0.0431255591756674;0.0431255591756674;0.045395964
OthManuf;0.04084275543924;0.04084275543924;0.043785504
LandTransp;0.1094604;0.1094604;0.1094604
NavalTransp;0.102487174243445;0.102487174243445;0.117015324
AirTransp;0.115741104649176;0.115741104649176;0.12333398
AgriForest_Fish;0.182991986382916;0.182991986382916;0.19499667
Construction;0.036883654232896;0.036883654232896;0.040719828
Property_business;0.2237052;0.2237052;0.2237052
Compo;0.1034568;0.1034568;0.1034568
