2030;Crude_oil;Liquid_fuels;Gas_fuels;Solid_fuels;Elec_heating;Steel_Iron;NonFerrousMetals;Cement;OthMin;ChemicalPharma;Paper;Auto_indus;OthEquip;Electronics;Food_industry;OthManuf;LandTransp;NavalTransp;AirTransp;AgriForest_Fish;Construction;Property_business;Compo;C;G;I;X;Tot_uses;Y;M
Crude_oil;0.0;40170.75403532199;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;817.5149138355836;41928.5429910979
Liquid_fuels;110.56455926721935;0.0;1436.3896941568719;125.34813436612234;1445.1183745154099;983.3037970297377;815.5710997394341;178.29671949041474;604.6956972608668;2191.246021661524;47.1497127473957;191.25527132143762;225.8922120531924;100.16256022118952;421.26692125392407;823.4208603143846;9870.995096407774;4523.3526096710275;10141.982515130427;3559.59295144398;812.1550086125831;20.013983460833458;6523.52308906319;23243.365089123497;0;0;0;0;47708.892660595535;10504.6150297426
Gas_fuels;28.793120519763406;1263.832421025506;0.0;0.0;4377.564875418498;184.60439484277978;251.9800076217201;812.0805918052979;1021.8991875099919;2813.8239701633406;1272.1696041393682;324.5712216253195;175.52884901041395;77.8310095321996;2993.4071088691985;637.5306970410709;521.4112229879929;12.984695807931098;5.039580425397412;190.6510281160155;464.1384167615432;757.2661852965638;5561.674908897209;9289.563915452743;0;0;0;0;840.2720983418325;204712.250843077
Solid_fuels;0.0;20.41463516946883;0.0;2752.902571087344;2319.5422777402896;3122.0181462941855;0.0;89.01314054438161;274.7848912416337;289.48564920484404;20.746601532428436;17.1337200217175;5.270731325701332;2.3370878483227857;313.8268580793629;19.211278399350984;0.0;0.0;0.0;2.2804630216415847;111.06365699950925;0.0;200.65279991841624;32.31109883035817;0;0;0;0;2241.0407874800626;4815.1120973236
Elec_heating;25.643399059737668;297.9372637761531;973.1092018789157;3.1509033471969676;907.5288390540966;179.436206253148;877.0604428801299;513.8260825212928;551.4607432251648;3128.637933470852;1104.1901238075388;513.6099686153505;364.0479897421535;161.42202674683188;1998.5246938386779;1329.545318092331;1314.349282112822;0.0;0.0;760.4169583347002;947.1052802600939;424.7331102261738;15129.06722206007;16996.073695466977;0;0;0;0;54782.286660958016;0
Steel_Iron;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0;0;0;0;20018.52203962438;0
NonFerrousMetals;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;243.43846317316468;0;0;0;0;33641.09257978221;0
Cement;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;367.8779970833555;0;0;0;0;5232.345152382626;0
OthMin;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2447.446031402661;0;0;0;0;46039.187608550514;0
ChemicalPharma;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;27068.007799527088;0;0;0;0;112708.78645222189;0
Paper;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3340.9170961891073;0;0;0;0;33089.59100089957;0
Auto_indus;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;56303.444685581904;0;0;0;0;145324.17321219255;0
OthEquip;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10461.64993089738;0;0;0;0;66557.18708148641;0
Electronics;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18407.368084320962;0;0;0;0;29512.032303409134;0
Food_industry;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;94777.94747599147;0;0;0;0;148676.73776736922;0
OthManuf;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;102044.9032490432;0;0;0;0;242687.4863638858;0
LandTransp;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;29111.86437220038;0;0;0;0;104112.14332355729;0
NavalTransp;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;515.7474898247128;0;0;0;0;31467.478883871943;0
AirTransp;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9363.60400254717;0;0;0;0;25114.99478108521;0
AgriForest_Fish;0;0;0;2745.76322420671;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;29030.516402642475;0;0;0;0;89080.58678287441;0
Construction;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10521.96997841674;0;0;0;0;358385.4695047088;0
Property_business;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;245077.546481969;0;0;0;0;370314.3575684428;0
Compo;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;467739.79822765454;0;0;0;0;2715858.0161092677;0
ktoe;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
