2040;Crude_oil;Liquid_fuels;Gas_fuels;Solid_fuels;Elec_heating;Steel_Iron;NonFerrousMetals;Cement;OthMin;ChemicalPharma;Paper;Auto_indus;OthEquip;Electronics;Food_industry;OthManuf;LandTransp;NavalTransp;AirTransp;AgriForest_Fish;Construction;Property_business;Compo;C;G;I;X;Tot_uses;Y;M
Crude_oil;0.0;32917.03818359839;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;669.8945608719479;44242.398422963095
Liquid_fuels;90.59968891675832;0.0;1555.0780201173416;261.5318494504809;1594.2667705266417;1047.5142275200992;665.3160077849464;192.18860008238062;358.4276592908176;2124.5550663356357;31.285462180555143;223.1684518446459;234.33233267238631;103.90498268945525;421.7465734693502;852.9324242101287;9905.900809899189;3968.7312288526587;10320.134750375666;3397.7601008146416;810.5678786981083;19.209954554555953;6246.734847091684;17770.943632870156;0.0;0.0;20251.231;0;39093.99958051926;38067.063119872684
Gas_fuels;23.593887402278266;1035.6195958877454;0.0;0.0;4829.366465598067;192.20444801618507;179.68734776752856;856.2206275024369;597.0317244235806;2699.979590416272;826.2004305824353;344.900045039018;161.46009013754147;71.59280018875549;2944.4629890363603;587.0508864608507;931.1355408598803;10.072808670802782;6.035991274737188;209.89667580015993;558.0036894893859;895.668783737722;6517.218695969642;8129.8602856260395;0.0;0.0;5319.473;0;909.7034574703333;36037.115
Solid_fuels;0.0;16.728322420504192;0.0;5743.776757542573;2558.9385903926786;3362.7413479598063;0.0;94.54506583489494;161.75434648392613;287.3409182533008;14.137660700003027;19.33499363077326;6.305608353624021;2.79596127157486;339.0196569357618;22.98329967381241;0.0;0.0;0.0;2.433484247316994;120.05478167039817;0.0;227.31741699167702;23.458457613169234;0.0;0.0;33.236;0;4675.805865061428;8160.8704
Elec_heating;21.012917638150824;244.13811798038472;1053.5168395955948;6.574183046276368;1001.1934640881827;193.9407901615109;784.0055398961059;575.9853304950982;340.98728566897114;3263.5458898909674;764.413511576364;652.4833677919614;427.86838760161527;189.72054304288437;2417.900976613548;1540.1716348522555;1650.7864081106904;0.0;0.0;845.9389964477197;1023.7779010014884;563.4385040131061;20069.777461361533;18492.674203443432;0.0;0.0;3884.696698247659;0;60436.28036098917;1301.2450621148946
Steel_Iron;0.0;59.83727575794278;1.7334771423938526;0.0;22.287810036073825;981.1063875322462;1017.6636728912949;15.73049478727053;432.4542613062247;244.73475463894042;16.129558986228638;1889.047884983417;2170.9459621897154;341.25669376305854;10.953733467414704;5350.404320126449;8.130795703726896;5.590745144382164;0.0;12.35480638184635;5621.320611372425;0.0;1350.3069513102282;0.0;0.0;66.700926;22357.356971056317;0;21325.74562792727;20673.214933276344
NonFerrousMetals;0.0;90.93655242424586;2.9684533520714447;0.0;32.20045017633503;7362.026413648469;1630.2435433049936;12.07270670098276;752.8968135270236;383.98552917239095;34.77892426238924;10405.292216484888;2861.1391318856154;449.74989115861484;15.291419971855854;7052.542136676478;13.910434599789323;8.7840714366332;0.0;20.11426823172953;1733.4428199714105;0.0;8295.477433703922;266.0553666070034;0.0;114.50495;14093.18722116727;0;27443.29393213574;21539.07366624396
Cement;0.0;2.908593568790633;2.485764697537686;0.0;28.35879081007749;36.22471281713852;7.894625465280557;958.5449564700727;1065.7662409591157;94.8952375553541;40.36293557880476;118.3963995093511;89.89657877926514;69.14223517250998;34.72410083947887;367.7503106975931;14.591234750767772;1.6232780634253836;0.0;38.09362640115467;2366.522287106807;12.468216838704452;184.06549675408968;401.3759645555832;0.0;0.0;481.4914648402072;0;5607.804014403889;647.5917773014756
OthMin;0.0;19.949667985938976;17.053937806159098;1.9049233094260258;184.97732330087956;242.8737132267386;58.86291016929928;403.8330333268337;1306.6515752409405;1397.0936419016248;197.80395286401776;2402.681953885527;660.2112532502882;507.80506594327386;865.8690624963563;2624.4711368499693;102.71384051519543;12.216551430213999;2.4107274151304936;734.4757995909962;15520.926401469924;159.94509397655645;7400.784658561616;2669.141769232695;0.0;0.0;6307.771655728978;0;27101.339781172177;10247.56
ChemicalPharma;0.0;626.8136422742555;219.01303392134415;0.0;2815.6636691783897;104.50098305357456;712.7380220695387;41.02476565092867;809.2559231255943;22455.003294161856;1762.6736716833036;1350.9955722434772;1183.4677784891653;201.11154783015448;1184.2205262104283;11017.202522517826;42.27656723012153;64.4936761887404;19.401220865035064;5629.183758742623;2569.695948175654;30.35660171931346;12825.199270130348;29405.049508426455;19544.857;0.0;109470.45052879161;0;112441.44909868842;95631.598
