current_year;2030;2040;2050
Crude_oil;0.10156706798344609;0.1326506631483413;0.1734119777875259
Liquid_fuels;0.01560590346692779;0.02038193565117358;0.026644961197484152
Gas_fuels;0.7117401686502535;0.7196613459207437;0.7577862903537351
Solid_fuels;0.004423429745893675;0.004257692210675023;0.003937988072877275
Elec_heating;0.13713019413689181;0.14554086585494472;0.14698046700584017
Steel_Iron;0.05672001682956416;0.05810589539415993;0.0579175859853753
NonFerrousMetals;0.047950577392752367;0.04926137633396378;0.04926842048004514
Cement;0.08987558222085956;0.09546031196381217;0.09956525538946691
OthMin;0.04660033327777374;0.047953863249597384;0.047568847813179486
ChemicalPharma;0.05167964234507381;0.05179727044650152;0.05030437883423745
Paper;0.07362503284271016;0.0744421203281905;0.0731719792197611
Auto_indus;0.06641446487795545;0.06803653954670959;0.06949919318603577
OthEquip;0.029245505458317667;0.030123748550670234;0.029813310210214876
Electronics;0.1828727408318706;0.18836441276224905;0.1864232355013779
Food_industry;0.046744628837189606;0.048028055729322776;0.04714273057318434
OthManuf;0.04203061138351344;0.0433087530073636;0.04289166449194276
LandTransp;0.17578330701069414;0.21799956487964833;0.23654351194972528
NavalTransp;0.11342913082239145;0.1161559740130669;0.11754122220772602
AirTransp;0.13024144026847675;0.13154760197097845;0.12706142394522155
AgriForest_Fish;0.1687352853378687;0.16632656967674747;0.1612347935080559
Construction;0.03726751138562909;0.039954643566719114;0.04237778603057461
Property_business;0.24844474797046734;0.2590373658100532;0.2569183634837599
Compo;0.11147669660649273;0.11515924837699949;0.11370885685228223
