2050;Crude_oil;Liquid_fuels;Gas_fuels;Solid_fuels;Elec_heating;Steel_Iron;NonFerrousMetals;Cement;OthMin;ChemicalPharma;Paper;Auto_indus;OthEquip;Electronics;Food_industry;OthManuf;LandTransp;NavalTransp;AirTransp;AgriForest_Fish;Construction;Property_business;Compo;C;G;I;X;Tot_uses;Y;M
Crude_oil;0.0;28582.90909539796;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0;581.690710753104;41974.47337
Liquid_fuels;78.67058566859036;0.0;1693.112730267383;323.76676805251185;1781.3095795578163;1171.86729561404;741.0671315414278;162.3100651223956;301.36002345982166;2224.748854585421;25.51002073701081;252.97075197914265;262.0004212402242;116.17325241948338;456.9699562272308;953.9880892386988;10393.537977305405;4098.002853625642;11511.471462334053;3767.6392502085127;810.3240557659028;22.3385106133949;7281.7037609840145;13973.876680365353;0;0.0;20251.231;0;33946.5607431924;40937.16915275721
Gas_fuels;20.487321339937562;899.2613673675396;0.0;0.0;5395.958134110375;187.34108935436774;182.77321742689088;851.0032716647813;609.682207372407;2790.2794520777657;854.9210581153534;355.1707719694321;162.49794330062426;72.05299325607359;3140.3032343008063;591.2444416202253;1256.3758343894;9.712241130397363;4.901501852451255;246.46012502828827;619.8266978288127;944.4614720800487;6944.425196421524;7633.994225317093;0;0.0;5319.473;0;990.452237563651;31493.80365356171
Solid_fuels;0.0;14.52573334201205;0.0;7110.583437971691;2859.158773698144;3298.903370803348;0.0;76.73801035320396;182.58112643720415;269.95527281116904;13.531915269077393;21.046719857281083;7.610535442705105;3.374577227195179;388.36852838748075;27.739625893088185;0.0;0.0;0.0;2.7803995143893676;124.2573445624956;0.0;249.77702609570522;19.257817071377744;0;0.0;33.236;0;5788.47492629595;8160.8704
Elec_heating;18.246183369548;211.99287718516254;1147.0310489860615;8.138595746372117;1118.655636272105;230.13374446480597;946.1155042683599;696.1622425809286;433.8073276449348;4069.2936566307376;950.850147333077;768.7939180782689;517.4860454660379;229.45778750624586;3017.914390835691;1856.4377536327156;1960.429860559087;0.0;0.0;987.7305062136791;1059.6156323824046;629.9590699749409;22439.25158488858;20150.200738369025;0;0.0;1600.926509433452;0;67526.7948564903;1564.903778065272
Steel_Iron;0;51.9594769713211;2.12672050662101;28.2085995619605;23.6730448646357;948.52779;645.20007;15.85138;222.32044;214.52195;13.754231;2112.5277;2019.9775;317.52639;9.1691416;4976.8792;7.6676927;5.4476202;0.373658;10.970348;4385.9979;0;1283.6718;0.0;0;66.700926;25743.7009933299;0;18890.096;23711.335728196376
NonFerrousMetals;0;78.9629082611577;3.23198067416907;42.8686561005928;35.9759658463595;6352.4659;980.51166;11.531549;349.94352;326.00937;20.902328;3210.412;2607.7647;409.92245;13.93436;6425.0865;11.652606;8.2787577;0.5678487;16.671657;1733.189;0;7749.6398;305.0500372959302;0;114.50495;16228.364045820426;0;24214.075;24716.3675800074
Cement;0;2.52488069535016;2.70638959943049;0.343701190549543;30.1254833181357;32.884735;7.3483811;908.24474;480.15159;77.861145;14.146493;118.6912;78.781863;60.59591;30.504111;320.18936;12.96497;1.4927956;0.3060408;33.156214;2359.5499;11.647761;170.588;460.53945722383315;0;0.0;554.997538205287;0;4971.2167;734.6012314254624
OthMin;0;17.3224221109888;18.5676980864021;2.35802708279541;206.681586347449;225.61195;50.41496;374.84163;2223.7025;534.18113;97.054691;814.30347;322.22871;247.84565;209.27923;1309.6187;88.948629;10.241607;2.0996506;227.47448;14924.149;79.911669;3707.5947;3062.1655377869993;0;0.0;7269.780604332563;0;22947.835;10247.56
ChemicalPharma;0;544.282939260154;268.693976933262;10.9852158381084;2990.89818200563;95.834081;472.50286;38.813524;356.72123;18783.344;782.54131;1378.8772;1053.6779;179.05551;1062.7629;9655.5704;38.848283;60.377022;18.545747;5360.2618;2504.8833;28.016526;11805.475;33721.8630519839;27455.9478443897;0.0;126064.83733011462;0;91391.43;95631.598
Paper;0;24.5669727297968;2.76223452760305;0.452153745823083;30.747106023676;3.4294996;16.908895;24.680081;226.82581;1260.4714;2951.577;182.09102;234.70403;133.84899;1486.3003;2784.3944;30.970442;48.236414;1.7897872;145.75291;537.99308;178.02702;9997.0453;4794.025310189974;0;0.0;11562.282888110205;0;18740.442;19154.662175423997
Auto_indus;0;18.2431236618736;2.20281292710982;0.521946827644071;24.5200475645017;6.3953728;31.531913;4.0877693;37.569226;47.114624;12.312027;36423.788;430.43021;18.146284;59.128635;989.0375;292.51835;914.03293;904.54312;164.49075;151.75699;12.046078;15919.823;52107.587679663986;173.372493810124;45777.6673596542;161925.1004572139;0;146269.8;151768.08931020967
OthEquip;0;156.353781717511;72.8202818595755;14.0543477334289;771.692062114333;343.14604;439.85822;60.205775;277.91832;564.69923;269.31836;7867.3517;6667.7313;1750.5442;590.14936;6548.6383;246.08217;59.654867;43.42904;1391.5398;8303.9082;69.55235;9890.733;13200.204712556746;0;23968.294641821132;50702.57817421624;0;58100.511;68801.0483225734
Electronics;0;55.6196649046532;26.4505405793533;4.43569565748105;361.466449565582;98.493841;126.25332;21.743688;100.37192;136.48106;87.145191;6035.7757;2941.7464;3051.0672;66.178169;1565.2098;18.704475;27.195987;4.9663308;0;1988.0138;31.425674;10351.698;23225.88009896999;271.893120461105;11533.054959936466;35041.015816509316;0;25762.269;70540.37791178476
Food_industry;0;33.7802916603943;3.56553130701667;0.993170838894603;39.688799136411;12.33609;60.822181;4.4381675;40.789612;1785.6717;231.02605;108.92181;85.692399;15.12572;21157.486;2425.3216;17.094048;78.879117;156.47139;4774.6847;410.68587;127.47183;26794.696;118704.7265153607;225.812670254555;0.0;40493.870668625976;0;134451.07;55813.791094977394
OthManuf;0;497.737552122898;72.8907573766215;40.0187935718713;858.912987677094;883.64718;1132.6941;159.9803;738.49156;3988.0394;1821.5234;15286.253;7517.4633;2191.7809;4182.2937;35135.287;724.138;172.094;1049.644;1488.114;19827.137;434.28515;36167.186;128728.16357018563;2749.9648705516;31963.104116159117;72393.530294886;0;211770.44;122485.57464640656
LandTransp;0;107.95682511081;6.77840340311489;1.71053870091743;75.4520621958378;7.6135471;37.538032;10.03414;92.220191;278.74997;42.981187;88.32354;66.041221;46.182953;251.89878;283.0023;17596.752;79.552387;81.663217;106.25819;381.89423;122.03296;40647.747;32131.803462054395;7352.10762697093;0.0;3259.3832925934685;0;92958.646;4354.755603035015
NavalTransp;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.7416825;2852.4564;0;0;0;0;249.4409;645.4753782225916;0;0.0;39512.208274111195;0;28817.296;0.0
