2030;Crude_oil;Liquid_fuels;Gas_fuels;Solid_fuels;Elec_heating;Steel_Iron;NonFerrousMetals;Cement;OthMin;ChemicalPharma;Paper;Auto_indus;OthEquip;Electronics;Food_industry;OthManuf;LandTransp;NavalTransp;AirTransp;AgriForest_Fish;Construction;Property_business;Compo;C;G;I;X;Tot_uses;Y;M
Crude_oil;0.0;38166.53103175497;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0;776.7269765559477;43574.485713686045
Liquid_fuels;105.04820692621617;0.0;1385.8302510247333;219.25873822694342;1476.3834352754461;985.818794192876;628.1846120400858;182.1425400124183;333.04186978910224;1969.0118089799294;29.36611533097018;191.5905970488278;208.08243384162117;92.26555055260268;367.72538216159694;757.7685017689528;10151.118316009559;3732.4287019981734;9722.940989061159;3121.9515679412193;793.5663051951141;20.765601399710295;6771.722022123653;21795.55708154908;0;0.0;20251.231;0;45328.57238926087;37492.377384720094
Gas_fuels;27.356557132393444;1200.7765468777152;0.0;0.0;4472.273263481762;183.4516774984141;163.7643490253492;830.7686766444249;560.094009158517;2549.5624518054256;784.3364376551572;316.92821837035444;149.93678188316488;66.48326566126795;2700.6523922842384;545.3806054084645;457.0326131203232;8.92102333029909;5.583042962909871;190.39969191083108;518.3292016006757;818.8260952857013;6026.1228519283595;8623.407481925578;0;0.0;5319.473;0;810.6953828136877;36037.115
Solid_fuels;0.0;19.39609612536473;0.0;4815.372380695385;2369.7254541000398;3102.5351960709695;0.0;90.47087657278998;151.26629681467662;265.06451561381306;12.759016660570417;18.210960094554576;5.362860087422765;2.377938537951048;313.7184575246063;19.54707834449094;0.0;0.0;0.0;2.250687540720556;117.24282552216569;0.0;217.94887147957914;29.014199091958773;0;0.0;33.236;0;3920.0246406762276;8160.8704
Elec_heating;24.363983437118687;283.0724017136952;938.8567566310145;5.511554644790776;927.1631782161227;179.87668641581223;691.5880222623208;527.0639892904618;302.4414974512936;2968.8005138713997;683.3416305845424;572.3890817042352;386.5071958239443;171.38063293887606;2135.258834612219;1390.4482547702864;1296.2388273220909;0.0;0.0;774.6441675501485;999.7986931507817;477.35075350424694;17003.3168227009;16671.72815816761;0;0.0;9220.341838720551;0;55967.49857939543;1197.1777226508718
Steel_Iron;0;69.3810760689498;1.74074269294791;19.1032019262132;19.6206721738714;948.52779;645.20007;15.85138;222.32044;214.52195;13.754231;2112.5277;2019.9775;317.52639;9.1691416;4976.8792;7.6676927;5.4476202;0.373658;10.970348;4385.9979;0;1283.6718;0.0;0;66.700926;20569.31715665144;0;18890.096;18952.01910254595
NonFerrousMetals;0;105.438542957558;2.64540955183975;29.0311680307358;29.8175682953354;6352.4659;980.51166;11.531549;349.94352;326.00937;20.902328;3210.412;2607.7647;409.92245;13.93436;6425.0865;11.652606;8.2787577;0.5678487;16.671657;1733.189;0;7749.6398;246.13597560657607;0;114.50495;12964.641991847004;0;24214.075;19822.725126975707
Cement;0;3.37145309768615;2.21520783046571;0.232758568213426;24.9685765242463;32.884735;7.3483811;908.24474;480.15159;77.861145;14.146493;118.6912;78.781863;60.59591;30.504111;320.18936;12.96497;1.4927956;0.3060408;33.156214;2359.5499;11.647761;170.588;371.51933136060126;0;0.0;443.1903648075382;0;4971.2167;603.8863884183611
OthMin;0;23.1304923805205;15.1978525942371;1.59688422004702;171.301650180072;225.61195;50.41496;374.84163;2223.7025;534.18113;97.054691;814.30347;322.22871;247.84565;209.27923;1309.6187;88.948629;10.241607;2.0996506;227.47448;14924.149;79.911669;3707.5947;2472.2005304575796;0;0.0;5808.754982825349;0;22947.835;10247.56
ChemicalPharma;0;726.776676999338;219.928794371212;7.43931991013863;2478.91359434821;95.834081;472.50286;38.813524;356.72123;18783.344;782.54131;1378.8772;1053.6779;179.05551;1062.7629;9655.5704;38.848283;60.377022;18.545747;5360.2618;2504.8833;28.016526;11805.475;27225.03409880827;22031.7074021201;0.0;100740.71877763057;0;91391.43;95631.598
