2030;Crude_oil;Liquid_fuels;Gas_fuels;Solid_fuels;Elec_heating;Steel_Iron;NonFerrousMetals;Cement;OthMin;ChemicalPharma;Paper;Auto_indus;OthEquip;Electronics;Food_industry;OthManuf;LandTransp;NavalTransp;AirTransp;AgriForest_Fish;Construction;Property_business;Compo
Crude_oil;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Liquid_fuels;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Gas_fuels;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Solid_fuels;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Elec_heating;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Steel_Iron;0.00100492907097014;0.00126746815318595;0.00815396171169221;0.000174652746652106;0.0251275145707721;0.00409121154275303;0.00473861184632662;0.000894173487821303;0.00598408780121531;0.0218669001874613;0.00135578476763105;0.0321998241391742;0.00968930020738063;0.018364400108242;0.0156178415536969;0.0113735226921826;0.0222872031954267;0.0102521139796343;0.0120350892157924;0.0170979724203651;0.01311142958878;0.33159606910647;0.431715937906374
NonFerrousMetals;0.00100492861052276;0.00126746747961761;0.0081539619243202;0.000174652711977917;0.0251275146405309;0.00409121091470162;0.00473861174928755;0.000894173573004941;0.00598408716649565;0.021866901007861;0.001355784185808;0.0321998237601077;0.00968930079360578;0.0183644008884273;0.0156178418896768;0.0113735231831642;0.0222872033627032;0.0102521131451141;0.0120350902175891;0.0170979726651939;0.0131114288415778;0.331596067239703;0.431715940049009
Cement;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
OthMin;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ChemicalPharma;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Paper;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Auto_indus;0.00107830051724074;0.00145828347675803;0.018935096458462;0.000233793971474544;0.111272538537244;0.00514395818179907;0.00601766947800473;0.000673541214402074;0.0043600286770743;0.0115908727356382;0.00158862785939771;0.00781530429236982;0.00941541613775725;0.00288256420296918;0.000937335847363074;0.00636439331472464;0.197888154216307;0.0507033687506446;0.0624527516648407;0.0116315674149354;0.0394280150500616;0.00131882834493276;0.446809589655598
OthEquip;0.00258115901619161;0.00405870123476331;0.0355510240340118;0.000629441969657763;0.208916426598957;0.0138157210194877;0.0161623486410541;0.00215139001928197;0.0139265748783425;0.0328197922314312;0.00482631906149894;0.0158043976182692;0.0322594072869375;0.00988563747628286;0.0039367423951866;0.020780410682368;0.0589138400725894;0.0150950435382075;0.0185929853268449;0.0832926766376106;0.0367568457236076;0.00689717813448204;0.362345936402936
Electronics;0.00184793173873378;0.00459768872529238;0.0116427260229709;0.000411923528411323;0.0358786050112489;0.00923857874833904;0.0107005076300969;0.000744140832673319;0.00498001939288654;0.0284047949740817;0.00297529870372223;0.0143644026886732;0.017280484256119;0.00570077903390783;0.00239944781037378;0.0112811004725222;0.0489253698606961;0.0225056706720063;0.0264196991886899;0.00550815420586375;0.0187925256568735;0.00140403936256236;0.713996111483255
Food_industry;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
OthManuf;0.00100492863084556;0.00126746740199276;0.00815396152196554;0.000174652812448778;0.0251275145713446;0.00409121112193118;0.00473861159349409;0.000894173944843698;0.00598408705030308;0.021866900607901;0.00135578403862168;0.032199824553862;0.00968930078001553;0.0183644009739864;0.0156178416930985;0.0113735232612059;0.0222872032913719;0.0102521135623893;0.0120350897289827;0.0170979733211721;0.0131114296061935;0.331596067153902;0.431715938778128
LandTransp;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
NavalTransp;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AirTransp;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AgriForest_Fish;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
Construction;0.000277235862229852;0.0000842474386894281;0.00592513052836258;0.0000409067099808161;0.0348191686404552;0.000942992563498051;0.00110316170809254;0.000227669028801871;0.00147376800221155;0.00269046365038136;0.000437796487177402;0.000933528354588726;0.00570356469361132;0.00094773643206937;0.000293732981964198;0.00323023920952424;0.01794362194851;0.00459755706854042;0.0056629389884678;0.0109818187244706;0.00921206149374988;0.589291004092216;0.303179655392406
Property_business;0.00100492867004228;0.00126746745326646;0.00815396170207331;0.000174652815140005;0.0251275145077059;0.00409121111967307;0.00473861162480059;0.000894173952195942;0.00598408718557979;0.0218669011023494;0.00135578406377363;0.0321998241594419;0.00968930054593027;0.0183644008372159;0.0156178421728246;0.0113735235942647;0.0222872037831339;0.0102521139350187;0.0120350898481152;0.0170979728119285;0.0131114290609616;0.331596068095709;0.431715936958856
Compo;0.00181213243224989;0.00246634294742054;0.00330297894067824;0.000310850548104231;0.0194100327673567;0.00670679229944136;0.00784595453829906;0.00182350976481797;0.0118041101419094;0.0519005898754202;0.00208213059324889;0.0856084136141393;0.0116316896774153;0.0538621816650201;0.0503593115492843;0.0245019075733011;0.0126682189397263;0.00324588091681449;0.0039980418790185;0.00355396489723091;0.00868463777534175;0.0032102280748121;0.629210098588949
