2040;Crude_oil;Liquid_fuels;Gas_fuels;Solid_fuels;Elec_heating;Steel_Iron;NonFerrousMetals;Cement;OthMin;ChemicalPharma;Paper;Auto_transport;OthEquip;Electronics;Food_industry;OthManuf;LandTransp;NavalTransp;AirTransp;AgriForest_Fish;Construction;Property_business;Compo;C;G;I;X;Tot_uses;Y;M
Crude_oil;0;23718.0432501411;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Liquid_fuels;0;2601.80496592455;0;0;0;5.11032651318741;348.997512331839;88.4797718693848;20.3627757906761;6638.94768299791;0;74.8903927954289;0;25.5970068558674;54.2047686612625;210.411958893015;17748.1055396665;340.160235806316;1339.06324728399;1905.67092523923;2814.82942204211;0;121.355284327109;2486.97690967737;0;0;0;0;31647.1083074573;0
Gas_fuels;0;2323.96433800954;654.293428847617;0;2603.97047019494;988.183054782861;222.398867265381;15.3877866972885;953.615148765747;2786.29740792425;402.66490968457;139.667654359536;614.410305796875;47.7374169467859;1569.27596644373;392.410076257155;7012.88335144859;17.7820083733992;22.7874703702575;1051.9278877557;453.427494560486;0;2082.90580731693;20827.3113900789;0;0;0;0;5305.31361041036;0
Solid_fuels;0;8166.24548981766;5883.08708876342;501.199278851532;6806.65001112425;350.085491584099;4.17728624978828;528.47979801709;26.4309210366669;69.4663889539948;425.17089072876;9.53224879072743;5.10065561857224;3.25805525302275;332.444731502564;26.7817949118162;0;0;0;316.80948296195;50.5947198724365;0;618.736289792795;5053.79554016689;0;0;0;0;28556.9171812161;0
Elec_heating;0;0;5573.97972549995;0;7867.76259623381;537.192918508118;741.401887209904;137.041966636491;1259.82453145972;3164.88546272791;1111.350544177;317.8802913879;1837.9423668252;108.649236494562;3141.83823696606;893.116090165481;1257.20604730458;47.0104174944706;0;722.619766524899;313.810886920166;0;12172.5619122406;22645.8131946001;0;0;0;0;68926.146004641;0
Steel_Iron;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20693.2662640659;0
NonFerrousMetals;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;26488.4999647308;0
Cement;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5184.56885647222;0
OthMin;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;25897.298541867;0
ChemicalPharma;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;106248.384106522;0
Paper;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;21638.4586623481;0
Auto_transport;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;167820.917480337;0
OthEquip;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;66851.9864092649;0
Electronics;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;29642.7906838374;0
Food_industry;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;151885.241267341;0
OthManuf;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;243667.437471196;0
LandTransp;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;92165.3823112664;0
NavalTransp;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;24955.7555350839;0
AirTransp;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;23918.1118854896;0
AgriForest_Fish;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;85277.7640885199;0
Construction;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;396106.169782576;0
Property_business;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;352577.444444438;0
Compo;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2741818.24491416;0
ktoe;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
