2050;Crude_oil;Liquid_fuels;Gas_fuels;Solid_fuels;Elec_heating;Steel_Iron;NonFerrousMetals;Cement;OthMin;ChemicalPharma;Paper;Auto_indus;OthEquip;Electronics;Food_industry;OthManuf;LandTransp;NavalTransp;AirTransp;AgriForest_Fish;Construction;Property_business;Compo;C;G;I;X;Tot_uses;Y;M
Crude_oil;0.0;8973.72966180873;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;189.775355628302;8922.77555479897
Liquid_fuels;24.4704945480985;1424.99765233272;0.0;0.0;0.0;1311.0299652715423;808.8325137412132;60.551289825706036;679.756833680406;2568.452372906007;0.0;327.98554268309096;272.1453689045838;134.75269580355516;518.4478358178993;1015.2269021549941;292.305622638078;1312.10506578361;7871.96527814944;1733.18119427804;569.520017627058;0.0118653572449987;3.89604744732056;129.863702081601;0;0;0;0;18208.8379521025;0.0
Gas_fuels;6.68393693407986;3819.63926982692;491.879797729735;0.0;653.571060526797;151.43419002769187;250.28349141732727;1122.9646540260403;684.4800226660705;3103.8668601595828;211.30716114051907;411.21743982570325;184.66249673655486;96.26045096262408;3291.5378581747623;688.8757107598622;1040.70071137658;19.052151828642;102.501487358496;141.388442909935;1412.12515846979;59.7984558844807;453.403308696951;1306.21867445796;0;0;0;0;10463.5612212798;229.075628663863
Solid_fuels;0.0;8067.83051252548;11053.6472373921;35.6512594297419;2321.39331015464;681.4409346825231;0.527448921988455;163.73226693090092;164.03391976216395;463.0380774459956;10.886194316399028;24.37544507378431;7.35509904087659;3.6418750032949867;348.80142384491614;27.437887922669475;0.0;0.0;0.0;29.299085862758;91.9398880430518;0.693361621456151;300.876440868407;24.3165688603087;0;0;0;0;7966.39202769744;435.305381530483
Elec_heating;5.95278493451226;113.7125062539;9339.96801451325;0.0;1038.53026850564;715.5526612514974;986.4276423922129;1504.8201664732378;314.56292293776045;2992.25452165818;917.8546411885843;730.8291443924813;435.4907024866884;227.01159975281126;2478.9792562674606;1624.5797628277687;4125.27931551816;44.0722664010662;0.0;434.453079677714;784.118961859799;376.401551085647;13407.8502007835;23877.2936956888;0;0;0;0;68237.0992894693;0.0
Steel_Iron;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;26690.4922889323;0.0
NonFerrousMetals;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;34212.932643176;0.0
Cement;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;7024.00988316638;0.0
OthMin;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;32423.8168570023;0.0
ChemicalPharma;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;129130.220285249;0.0
Paper;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;26479.0407995906;0.0
Auto_indus;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;53860.065289401;0;0;0;0;206669.832117511;0.0
OthEquip;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;82092.2900989242;0.0
Electronics;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;36400.4313207249;0.0
Food_industry;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;189970.725774697;0.0
OthManuf;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;299218.029164267;0.0
LandTransp;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;131344.595826966;0.0
NavalTransp;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;40716.9882395453;0.0
AirTransp;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;33295.081091027;0.0
AgriForest_Fish;0.0;0.0;0.0;5153.18741585117;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;111322.28575315;0.0
Construction;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;477199.302613639;0.0
