;2030;2035;2040;2045;2050
Crude_oil;0.0704442;0.0704442;0.0704442;0.0704442;0.0704442
Liquid_fuels;0.0108238;0.0108238;0.0108238;0.0108238;0.0108238
Gas_fuels;0.006198288;0.006198288;0.006198288;0.006198288;0.006198288
Solid_fuels;0.0045661;0.0045661;0.0045661;0.0045661;0.0045661
Elec_heating;0.141137694749435;0.146856951477919;0.144933527491463;0.128339909170917;0.128339909170917
Steel_Iron;0.0526588622403433;0.0526588622403433;0.0529267384173039;0.0527884296477775;0.0527884296477775
NonFerrousMetals;0.0444309069639541;0.0444309069639541;0.0442059752613821;0.0443646409856824;0.0443646409856824
Cement;0.0807188624970722;0.0807188624970722;0.081364235923245;0.0814946375504244;0.0814946375504244
OthMin;0.0432068029215237;0.0432068029215237;0.0429125335700089;0.0432078510888873;0.0432078510888873
ChemicalPharma;0.0518124923941996;0.0518124923941996;0.0514789726695526;0.0518709135906399;0.0518709135906399
Paper;0.070973300057904;0.070973300057904;0.0709275385655179;0.0718034644373398;0.0718034644373398
Auto_indus;0.061865931269833;0.061865931269833;0.0624991917328274;0.0622017759714056;0.0622017759714056
OthEquip;0.0274730436127946;0.0274730436127946;0.0276673601405349;0.0275137126994781;0.0275137126994781
Electronics;0.173364660056074;0.173364660056074;0.171307572759691;0.172160237049907;0.172160237049907
Food_industry;0.0420445550541575;0.0420445550541575;0.0421742616514903;0.0419920653787939;0.0419920653787939
OthManuf;0.0395245222935219;0.0395245222935219;0.039443863299561;0.0392650647094662;0.0392650647094662
LandTransp;0.109460372303616;0.109460372303616;0.109460372303616;0.109460372303616;0.109460372303616
NavalTransp;0.094580155906126;0.0976264804833836;0.100672805060641;0.114146298898356;0.114146298898356
AirTransp;0.114397380490049;0.115852976473524;0.117308572457;0.11902504550307;0.11902504550307
AgriForest_Fish;0.178178299395715;0.179323459356798;0.180468619317881;0.182192968739489;0.182192968739489
Construction;0.0340782474085165;0.0332928971792379;0.0325075469499593;0.0309027657412652;0.0309027657412652
Property_business;0.244166684964576;0.254060937228893;0.250733434541621;0.22202665437146;0.22202665437146
Compo;0.108842171884169;0.110310596024037;0.111779020163905;0.114318388469736;0.114318388469736
