;2030;2035;2040;2050
Crude_oil;0.154201292700653;0.153744594062438;0.153287895424223;0.152659580414596
Liquid_fuels;0.0172157703824015;0.0169786600297408;0.01674154967708;0.0156982491114867
Gas_fuels;0.0685251556501745;0.0670476758468031;0.0655701960434317;0.0673574703674829
Solid_fuels;0.0121736092845837;0.0125120229502703;0.012850436615957;0.0132416693198673
Elec_heating;0.141137694749435;0.153986354157138;0.164436886021699;0.17205504313585
Steel_Iron;0.0611547221015518;0.0619096228050824;0.0626645235086129;0.0639792182059471
NonFerrousMetals;0.0446509057189238;0.0441994890136331;0.0437480723083424;0.0428506403512389
Cement;0.0523801591868569;0.0463056563063409;0.0402311534258248;0.0255979478766167
OthMin;0.0457723768634154;0.0458065526193575;0.0458407283752996;0.0457055025586105
ChemicalPharma;0.0521226537459488;0.052499913178782;0.0528771726116152;0.0537746514480987
Paper;0.0722671168576847;0.0734353312715135;0.0746035456853423;0.0769210985170998
Auto_transport;0.060030016947204;0.0598322848943847;0.0596345528415655;0.0594278818618982
OthEquip;0.0294386678461973;0.0290020513785128;0.0285654349108283;0.0276220967509409
Electronics;0.167613361449995;0.16669341605689;0.165773470663784;0.164405238028715
Food_industry;0.0408918442688172;0.041104707051008;0.0413175698331988;0.0417611619809157
OthManuf;0.0384487365222141;0.0382377107573356;0.0380266849924572;0.0377128268668974
LandTransp;0.114753584964857;0.113058668062158;0.111547028001345;0.108733763077312
NavalTransp;0.0945801185391631;0.0976264419128713;0.100672765286579;0.114146253801152
AirTransp;0.114397351033336;0.115852946642003;0.117308542250671;0.119025014854759
AgriForest_Fish;0.178178288016274;0.179323447904221;0.180468607792168;0.182192957103649
Construction;0.0340782105270744;0.0332928611477471;0.0325075117684197;0.0309027322965122
Property_business;0.244166684964576;0.266394726731783;0.284474033794411;0.297653363181956
Compo;0.108842182153478;0.110310606431893;0.111779030710308;0.11431839925573
