2030;Crude_oil;Liquid_fuels;Gas_fuels;Solid_fuels;Elec_heating;Steel_Iron;NonFerrousMetals;Cement;OthMin;ChemicalPharma;Paper;Auto_indus;OthEquip;Electronics;Food_industry;OthManuf;LandTransp;NavalTransp;AirTransp;AgriForest_Fish;Construction;Property_business;Compo
Crude_oil;0;0;0;0;0.0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0;0;0;0.0;0.0;0;0.0
Liquid_fuels;0;0;0;0;0.0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0;0;0;0.0;0.0;0;0.0
Gas_fuels;0;0;0;0;0.0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0;0;0;0.0;0.0;0;0.0
Solid_fuels;0;0;0;0;0.0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0;0;0;0.0;0.0;0;0.0
Elec_heating;0;0;0;0;0.0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0;0;0;0.0;0.0;0;0.0
Steel_Iron;0;0;0;0;0.3006227821924028;0;0;0;0;0;0;0.13921956014025083;-0.022767444255119007;-0.13425604877372177;0.09764251087594977;0.20169316514506752;0;0;0;0.0;-0.22153993220189616;0;0.0
NonFerrousMetals;0;0;0;0;0.1594595462656756;0;0;0;0;0;0;-0.02373095998994257;0.0;0.18054702599317496;0.0;0.0;0;0;0;0.0;0.0;0;0.0
Cement;0;0;0;0;0.0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0;0;0;0.0;0.0;0;0.0
OthMin;0;0;0;0;0.0;0;0;0;0;0;0;3.0891610028392984;0.0;0.0;1.5510835607581632;0.0;0;0;0;0.0;-0.14700098027354136;0;0.0
ChemicalPharma;0;0;0;0;0.0;0;0;0;0;0;0;-0.43403079651884136;0.0;0.0;-0.45914036368859923;0.0;0;0;0;-0.08748371443062797;-0.34915208637762307;0;0.18652014018928575
Paper;0;0;0;0;0.0;0;0;0;0;0;0;0.0;0.0;0.0;-0.506542637420774;-0.18336056275601154;0;0;0;0.0;0.0;0;0.10612916140196105
Auto_indus;0;0;0;0;0.0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0;0;0;0.0;0.0;0;0.0
OthEquip;0;0;0;0;0.0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0;0;0;0.0;0.0;0;0.0
Electronics;0;0;0;0;0.0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0;0;0;0.0;0.0;0;0.0
Food_industry;0;0;0;0;0.0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0;0;0;0.0;0.0;0;0.0
OthManuf;0;0;0;0;0.0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0;0;0;0.0;0.0;0;0.0
LandTransp;0;0;0;0;0.0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0;0;0;0.0;0.0;0;0.0
NavalTransp;0;0;0;0;0.0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0;0;0;0.0;0.0;0;0.0
AirTransp;0;0;0;0;0.0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0;0;0;0.0;0.0;0;0.0
AgriForest_Fish;0;0;0;0;0.0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0;0;0;0.0;0.0;0;0.0
Construction;0;0;0;0;0.0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0;0;0;0.0;0.0;0;0.0
Property_business;0;0;0;0;0.0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0;0;0;0.0;0.0;0;0.0
Compo;0;0;0;0;0.0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0;0;0;0.0;0.0;0;0.0
