2050;Crude_oil;Liquid_fuels;Gas_fuels;Solid_fuels;Elec_heating;Steel_Iron;NonFerrousMetals;Cement;OthMin;ChemicalPharma;Paper;Auto_indus;OthEquip;Electronics;Food_industry;OthManuf;LandTransp;NavalTransp;AirTransp;AgriForest_Fish;Construction;Property_business;Compo;C;G;I;X;Tot_uses;Y;M
Crude_oil;0;10118.3780303031;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Liquid_fuels;0;1866.16607138455;0;0;0;4.41827993168449;356.49417210791;0;0;5252.22755805959;0;72.2510523888245;0;24.6948989624375;0;202.996471212825;492.312274062861;147.290309202652;1289.40981295436;1617.86686097736;2656.02125243643;0.136278701803878;1.05977122724869;139.295918127959;0;0;0;0;17986.5233232283;0
Gas_fuels;0;3773.00468013269;548.120009697464;0;1321.23985407651;1011.21277584496;222.04704009304;10.273553646492;743.409779971985;2545.26971854362;297.063831121948;145.56472815484;518.420367240234;49.752995083494;1266.5965350694;408.978487807565;2732.64804912625;19.052151828642;102.501487358496;980.299600948637;632.47767710398;53.0984908679046;412.92037631174;1513.17855598694;0;0;0;0;11659.9366441741;0
Solid_fuels;0;7969.32907322826;12317.4915069;211.589833914253;6484.24260362546;154.711412873056;8.37712217611313;397.465450480957;29.1926482914276;61.4280898704529;319.453514771118;10.2296386799343;10.7582037535515;3.49641818729128;385.526838008102;28.7411807184983;0;0;0;430.392133651795;50.3394428919067;64.0356270209127;497.973007794391;4124.5237398191;0;0;0;0;33388.4562667114;0
Elec_heating;0;0;10407.8748147772;0;8348.75482152591;456.641112767212;779.29859781078;105.938664420948;1471.12946693262;3330.1831907157;1078.15645466895;355.687586124538;2062.42774370801;121.57150257506;3663.76889622803;999.339420676135;3982.22402998856;44.0722664010662;0;626.849516638096;312.227520978516;1377.66520252615;10713.412463527;27426.1295362262;0;0;0;0;77666.9437365261;0
Steel_Iron;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;24035.4503400633;0
NonFerrousMetals;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;30766.6763361871;0
Cement;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6021.93224086472;0
OthMin;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;30079.9895532072;0
ChemicalPharma;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;123408.635800471;0
Paper;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;25133.3014313706;0
Auto_indus;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;194925.792605635;0
OthEquip;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;77649.2980358896;0
Electronics;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;34430.4187811805;0
Food_industry;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;176416.334052062;0
OthManuf;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;283022.337706037;0
LandTransp;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;107051.078420722;0
NavalTransp;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;28986.3772692022;0
AirTransp;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;27781.1430595688;0
AgriForest_Fish;0;0;0;23877.0496524383;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;99051.0361054292;0
Construction;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;460081.557532288;0
Property_business;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;409522.476965685;0
Compo;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3184651.24964594;0
ktoe;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
