;2030;2040;2050
Crude_oil;0;0;0
Liquid_fuels;16118.215735113;5627.68210595531;68.6144860766723
Gas_fuels;6622.49655938581;4104.96372836444;2781.68531658693
Solid_fuels;28.9720915585386;19.5877780447675;13.8339139549632
Elec_heating;20440.8797196911;23007.7636839023;22768.4548568399
Steel_Iron;0;0;0
NonFerrousMetals;0;0;0
Cement;0;0;0
OthMin;0;0;0
ChemicalPharma;0;0;0
Paper;0;0;0
Auto_indus;51380.4377230825;56165.8035042812;59887.3252626291
OthEquip;0;0;0
Electronics;0;0;0
Food_industry;0;0;0
OthManuf;0;0;0
LandTransp;36568;42609;48651
NavalTransp;0;0;0
AirTransp;8125;3358;3688
AgriForest_Fish;0;0;0
Construction;0;0;0
Property_business;225364.876028896;229441.133240178;233125.740378567
Compo;0;0;0
