2030;Crude_oil;Liquid_fuels;Gas_fuels;Solid_fuels;Elec_heating;Steel_Iron;NonFerrousMetals;Cement;OthMin;ChemicalPharma;Paper;Auto_indus;OthEquip;Electronics;Food_industry;OthManuf;LandTransp;NavalTransp;AirTransp;AgriForest_Fish;Construction;Property_business;Compo;C;G;I;X;Tot_uses;Y;M
Crude_oil;0.0;35471.129400525984;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;721.872864771815;30992.6231994354
Liquid_fuels;97.62947903420468;0.0;1194.471757151229;121.58148102204538;1397.8913519244584;986.6452196122333;815.4149657528318;95.35591044515795;305.84504115078954;1258.8780329233132;21.29963061841927;63.07622275172613;108.74305470311951;48.21761080799238;215.82592440911532;400.7066372689301;9579.917838482888;4207.869312615607;9722.531727498887;3591.8623566216693;840.9011559195544;11.333743526397896;3646.5224643491165;21145.74383135619;0;0;0;0;42127.3721581568;13490.8415907587
Gas_fuels;25.424578859122757;1115.9751521556527;0.0;0.0;4234.504376769679;70.87880218533556;58.48944079567434;352.10679299942996;439.22792392723585;1358.5094999895273;474.2493236118055;70.47215264477036;57.87656945625475;25.662971382974906;1045.1391213878912;209.50473003598475;198.67001401599282;11.914735859259734;6.353096915840903;195.79788843500185;513.242434552095;1206.9191585278293;8381.268244020937;8376.387142387463;0;0;0;0;698.7527784934832;181178.99119433
Solid_fuels;0.0;18.026302546475296;0.0;2670.179124681534;2243.738746705511;1615.111842095442;0.0;55.155185648485684;299.0731001457008;205.0799616051132;14.432221891012157;16.224474934740893;3.6492289788992807;1.618099685852997;320.73925248357784;13.301067636431828;0.0;0.0;0.0;2.3087275102221443;115.10237999868653;0.0;250.98599752013249;28.946332163381246;0;0;0;0;2173.698550445093;2326.52278985054
Elec_heating;22.643347085729907;263.08122639047343;809.2173474905167;3.056220161925801;877.8704486137149;227.9967405491008;848.9233212416685;880.3063348749639;919.0483378282274;5700.22101960412;1644.3160629852848;476.38525664848504;494.726075320601;219.36581992753187;2942.9286754018467;1741.4712498369583;1683.5422532793364;0.0;0.0;748.8927992143203;981.5458522830878;283.3769132717585;10093.934913115996;16039.64511993131;0;0;0;0;52991.98052732477;0
Steel_Iron;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0;0;0;0;20086.548159134385;0
NonFerrousMetals;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;254.80274996158226;0;0;0;0;33634.6522854905;23772.5910043123
Cement;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;385.4621397164559;0;0;0;0;5397.825017429871;0
OthMin;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2564.200670109872;0;0;0;0;50108.58677150051;0
ChemicalPharma;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;28434.78105286387;0;0;0;0;112196.90219157653;85162.8296568747
Paper;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3635.186157948889;0;0;0;0;33612.071668639466;12225.5053338151
Auto_indus;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;37186.13048907544;0;0;0;0;137612.17077812462;0
OthEquip;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10905.917831423854;0;0;0;0;67409.1014402784;0
Electronics;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;19189.061490911357;0;0;0;0;29889.77849700392;0
Food_industry;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;99040.26098795749;0;0;0;0;151951.51245195084;0
OthManuf;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;106390.82686702278;0;0;0;0;245469.53720143225;0
LandTransp;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;31389.276721208465;0;0;0;0;105239.91440173495;0
NavalTransp;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;540.9132275603758;0;0;0;0;30584.247132502318;0
AirTransp;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7839.060340882659;0;0;0;0;24094.951324377736;0
AgriForest_Fish;0;0;0;4750.2264493856;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;29321.81386782015;0;0;0;0;90184.66836805252;0
Construction;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11063.946816043188;0;0;0;0;371417.8121932447;0
Property_business;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;256271.36375622172;0;0;0;0;377891.439475438;0
Compo;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;489116.0636862137;0;0;0;0;2762611.0279794605;0
ktoe;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
