2050;Crude_oil;Liquid_fuels;Gas_fuels;Solid_fuels;Elec_heating;Steel_Iron;NonFerrousMetals;Cement;OthMin;ChemicalPharma;Paper;Auto_indus;OthEquip;Electronics;Food_industry;OthManuf;LandTransp;NavalTransp;AirTransp;AgriForest_Fish;Construction;Property_business;Compo
Crude_oil;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Liquid_fuels;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Gas_fuels;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Solid_fuels;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Elec_heating;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Steel_Iron;0.0670297;0.0845413;0.5438768;0.0116495;1.6760285;0.2728876;0.3160698;0.0596422;0.3991442;1.4585425;0.0904321;2.1477581;0.6462853;1.2249225;1.0417245;0.7586245;1.4865771;0.6838255;0.8027516;1.1404506;0.8745445;22.117765;28.795853
NonFerrousMetals;0.1150693;0.1451313;0.933669;0.0199986;2.8772248;0.4684639;0.5425945;0.1023873;0.6852076;2.5038684;0.155244;3.6870392;1.1094729;2.1028148;1.7883202;1.3023247;2.5519951;1.1739177;1.3780774;1.9578025;1.5013235;37.969391;49.433612
Cement;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
OthMin;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ChemicalPharma;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Paper;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Auto_indus;50.0833222414882;67.7322139034127;874.613512507502;6.84459992551475;11562.2270116515;261.930321995486;305.930403172814;34.4356854753207;228.945393038366;605.058567397591;84.413709590173;445.850354450228;502.540018527771;153.85447087766;51.7013965405466;339.694208679086;11495.0003153224;2359.15419833523;2336.49802142607;579.449415484703;1873.39141100214;67.3158579096668;22806.1301271669
OthEquip;64.321835327515;101.14181684599;881.030872159865;9.88691517041626;11647.0632984617;377.443763013126;440.848259375332;59.0138647805354;392.35323027192;919.194581525177;137.593269829003;483.739467756758;923.799805566158;283.091065414134;116.50227225757;595.080349034489;1836.10228975839;376.828927200155;373.210038632961;2226.2526855357;937.027199403518;188.882144972324;9922.99696416811
Electronics;13.788322;34.305603;86.87207;3.0735628;267.70781;68.933552;79.841718;5.5523985;37.158359;211.94206;22.200158;107.17983;128.93814;42.536299;17.903453;84.173805;365.0561;167.92581;197.13029;41.099031;140.22022;10.476224;5327.474
Food_industry;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
OthManuf;20.780945;26.209991;168.61598;3.61165;519.61252;84.60226;97.989871;18.490646;123.74509;452.1862;28.036293;665.861;200.3653;379.75792;322.96175;235.19338;460.87765;212.00372;248.87393;353.56943;271.13159;6857.0836;8927.465
LandTransp;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
NavalTransp;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AirTransp;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AgriForest_Fish;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1773.303894551;0;0;0
Construction;91.6664206928283;27.8559241762007;1948.29238128791;8.52544114686587;25756.060860418;341.825269255855;399.246425457447;82.8621239185461;550.908198301856;999.806498801606;165.603927806013;379.121388997647;2167.13044342966;360.102599797897;115.336644218667;1227.36395685339;7420.05030423506;1522.8397026472;1508.21505386709;3894.56634641988;3115.93212411589;216343.627318629;111304.91713147
Property_business;10.318756;13.014543;83.726083;1.7933609;258.01303;42.00916;48.656764;9.1815102;61.445491;224.53257;13.921391;330.63255;99.491169;188.56838;160.36631;116.78502;228.8483;105.27022;123.57808;175.56451;134.63009;3404.8774;4432.923
Compo;392.489614726236;534.185016496833;711.441813066285;42.4376491230663;9405.12744740984;1592.53184328456;1860.05170410567;434.747977766882;2890.41855621129;12633.9307363878;515.921584034306;22774.2767521445;2895.06860313032;13406.0240050311;12953.0413696662;6098.40060210649;3431.54478140419;704.26647633626;697.503030549711;825.610754210603;1924.24444224671;764.099510293442;149764.788357489
