2030;Crude_oil;Liquid_fuels;Gas_fuels;Solid_fuels;Elec_heating;Steel_Iron;NonFerrousMetals;Cement;OthMin;ChemicalPharma;Paper;Auto_indus;OthEquip;Electronics;Food_industry;OthManuf;LandTransp;NavalTransp;AirTransp;AgriForest_Fish;Construction;Property_business;Compo;C;G;I;X;Tot_uses;Y;M
Crude_oil;0.0;37283.63792251873;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0;758.7592211215181;40293.28783440967
Liquid_fuels;102.61816323281337;0.0;1021.1205546374628;169.82155947366792;1566.2956409272456;993.1879003332319;631.291360961634;163.25900035982167;277.9270890283908;1710.0162350016756;24.115844922557276;147.61351967755408;167.6327744433224;74.32982178805963;307.7058137097512;612.7925691529548;9647.975953374182;3794.2854831105733;9274.020495859124;3107.2232449491776;858.0095554310448;20.84079646602932;6826.693042702093;20178.691143273994;0;0.0;20251.231;0;44280.00226428155;34669.167720879246
Gas_fuels;26.723727395666206;1172.9993999819505;0.0;0.0;4744.636081831994;142.86078943545218;115.83886374777906;706.6717192652483;454.2823790120945;2174.548896788423;607.5543592687927;228.02200253329286;121.80938632300644;54.01133523900011;2155.5783141766883;441.51760316007403;152.99536995115747;12.77916565925298;7.400811738356144;200.85851758755356;575.472943074184;450.5242192723964;3380.734940416056;7405.315187602804;0;0.0;5319.473;0;597.3442406302103;36037.115
Solid_fuels;0.0;18.947412968886077;0.0;3729.6303615945467;2514.0424636766174;2648.171466201173;0.0;83.55447539588845;152.85877605559904;246.65480626441084;12.002101227529135;18.684882287677098;5.159015855775604;2.2875522429012083;318.21439026014565;18.80408689941774;0.0;0.0;0.0;2.2575652092522276;126.15854733549914;0.0;133.0478093119121;25.697972880668768;0;0.0;33.236;0;3036.1603967902297;8160.8704
Elec_heating;23.800379868529216;276.5241861402119;691.777316411807;4.268841517887063;983.6277011582887;201.1440409256326;709.0374304875047;690.7957534466593;370.8022725207655;3788.3984335385007;823.8991780308003;633.5182335259494;445.04343563944093;197.33610786362044;2528.004421946007;1583.5293030850612;1597.4542158227548;0.0;0.0;732.5500388961883;1075.828309272422;549.2183383246695;19563.25268749912;16417.477945117324;0;0.0;7130.555672599605;0;59375.93647015825;1311.6731940675454
Steel_Iron;0;67.77610772845;1.28263049734246;14.7959236119112;20.8155771486719;948.52779;645.20007;15.85138;222.32044;214.52195;13.754231;2112.5277;2019.9775;317.52639;9.1691416;4976.8792;7.6676927;5.4476202;0.373658;10.970348;4385.9979;0;1283.6718;0.0;0;66.700926;20479.43287634228;0;18890.096;19193.479983846526
NonFerrousMetals;0;102.999469756284;1.94921568988729;22.4853899470074;31.6334673826254;6352.4659;980.51166;11.531549;349.94352;326.00937;20.902328;3210.412;2607.7647;409.92245;13.93436;6425.0865;11.652606;8.2787577;0.5678487;16.671657;1733.189;0;7749.6398;252.50145424131674;0;114.50495;12892.43365173255;0;24214.075;20075.954819795854
Cement;0;3.29346244389622;1.63223038810835;0.180277526699754;26.4891705201156;32.884735;7.3483811;908.24474;480.15159;77.861145;14.146493;118.6912;78.781863;60.59591;30.504111;320.18936;12.96497;1.4927956;0.3060408;33.156214;2359.5499;11.647761;170.588;380.7213550891361;0;0.0;440.3778865285061;0;4971.2167;638.4829504900817
OthMin;0;22.5954227322203;11.1982255105563;1.23682809971563;181.733973404161;225.61195;50.41496;374.84163;2223.7025;534.18113;97.054691;814.30347;322.22871;247.84565;209.27923;1309.6187;88.948629;10.241607;2.0996506;227.47448;14924.149;79.911669;3707.5947;2536.3421531575964;0;0.0;5779.6408292837;0;22947.835;10247.56
ChemicalPharma;0;709.96440449958;162.050014655852;5.76194553877078;2629.88019527495;95.834081;472.50286;38.813524;356.72123;18783.344;782.54131;1378.8772;1053.6779;179.05551;1062.7629;9655.5704;38.848283;60.377022;18.545747;5360.2618;2504.8833;28.016526;11805.475;27988.31318809904;22031.7074021201;0.0;100434.46011565688;0;91391.43;95631.598
Paper;0;32.0452376996716;1.66591060503062;0.237162864797422;27.0357599199384;3.4294996;16.908895;24.680081;226.82581;1260.4714;2951.577;182.09102;234.70403;133.84899;1486.3003;2784.3944;30.970442;48.236414;1.7897872;145.75291;537.99308;178.02702;9997.0453;3969.5941161169617;0;0.0;9192.144319343413;0;18740.442;15626.238310022964
Auto_indus;0;23.7963887760655;1.32852202790876;0.273770605816078;21.5603419284038;6.3953728;31.531913;4.0877693;37.569226;47.114624;12.312027;36423.788;430.43021;18.146284;59.128635;989.0375;292.51835;914.03293;904.54312;164.49075;151.75699;12.046078;15919.823;45742.95596625844;139.120749968246;41447.678361063045;128551.57883140916;0;146269.8;119366.27836801238
OthEquip;0;203.948372291846;43.9180955124962;7.37176104833899;678.544553343658;343.14604;439.85822;60.205775;277.91832;564.69923;269.31836;7867.3517;6667.7313;1750.5442;590.14936;6548.6383;246.08217;59.654867;43.42904;1391.5398;8303.9082;69.55235;9890.733;10917.619608034849;0;21704.617835208133;40199.81427376619;0;58100.511;57566.563492639674
Electronics;0;72.5504685599267;15.9523876845368;2.32660306193572;317.83544578285;98.493841;126.25332;21.743688;100.37192;136.48106;87.145191;6035.7757;2941.7464;3051.0672;66.178169;1565.2098;18.704475;27.195987;4.9663308;0;1988.0138;31.425674;10351.698;19209.650873154296;218.177485934891;10443.819809403554;27782.459561476782;0;25762.269;59021.87892275515
Food_industry;0;44.0631203415891;2.15038091717799;0.520936171736739;34.8981411172947;12.33609;60.822181;4.4381675;40.789612;1785.6717;231.02605;108.92181;85.692399;15.12572;21157.486;2425.3216;17.094048;78.879117;156.47139;4774.6847;410.68587;127.47183;26794.696;98132.32498930578;181.200762287883;0.0;32089.006048180254;0;134451.07;45957.82926531954
OthManuf;0;649.250452844172;43.9605994744403;20.9905852089419;755.237429794985;883.64718;1132.6941;159.9803;738.49156;3988.0394;1821.5234;15286.253;7517.4633;2191.7809;4182.2937;35135.287;724.138;172.094;1049.644;1488.114;19827.137;434.28515;36167.186;106470.6424984928;2206.67746520658;28944.36045765708;57400.27981083229;0;211770.44;102377.02599612778
LandTransp;0;140.819227506278;4.08807217547296;0.897208664981777;66.3445801182121;7.6135471;37.538032;10.03414;92.220191;278.74997;42.981187;88.32354;66.041221;46.182953;251.89878;283.0023;17596.752;79.552387;81.663217;106.25819;381.89423;122.03296;40647.747;33484.85726191868;5899.61362632095;0.0;2561.551583348224;0;92958.646;3528.9020428909757
NavalTransp;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.7416825;2852.4564;0;0;0;0;249.4409;535.6793158974916;0;0.0;31444.607506389282;0;28817.296;0.0
AirTransp;0;34.0469392207487;1.1822574363554;0.216924980915489;19.1866416201563;3.1965208;15.76021;2.9189377;26.826913;91.250558;9.0091425;56.97381;23.947422;9.1926945;59.563153;102.6731;37.819003;51.876233;1779.5907;5.8654928;104.42188;52.932204;4002.4533;7742.798240791379;6.30381708485031;0.0;16855.764605242453;0;23564.469;7934.635613703109
AgriForest_Fish;0;0;0.871835056829048;0;14.1488515491027;0;0;0;0;48.719833;112.20833;0;0.5133663;0;30256.918;2783.8982;0;0;0;12337.272;498.42473;0;2033.3696;29037.27608883606;0;1712.5162914710525;19631.53702038792;0;78787.931;16651.717116912718
Construction;9.52751681936758;647.600444104199;209.253165059062;7.57687777873799;2531.58284877419;161.98522;79.494126;19.926009;126.14987;333.48599;101.86654;909.06409;971.20229;159.52498;269.84109;1105.2388;197.62603;301.49492;130.61475;318.06189;47312.355;4507.2897;19588.006;120091.308239244;0;185021.902537623;0.0;0;337736.02;0.0
Property_business;0;198.164129262718;23.2051329027714;4.38092239561415;210.261494973942;495.93236;110.82042;64.728634;452.16494;808.47472;184.09433;797.88971;353.52728;117.33441;543.97168;1043.1687;1065.9369;416.02169;250.96907;18.750245;2109.598;10807.525;61827.615;253570.17746598885;18505.1373808572;13285.91911124963;0.0;0;323566.76;0.0
Compo;66.3710029597803;7343.32775364452;470.129571540114;89.3749713154217;8701.46249741555;1206.5873;15858.028;687.27155;8201.0829;26491.85;5136.6157;35705.616;10695.767;8461.0723;27002.36;36380.827;22637.253;13426.786;4570.4907;8271.9157;79502.243;46553.652;848815.81;483984.8536956603;663446.047963659;165294.4;234082.17161159994;0;2383920.6;243542.94739868425
ktoe;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
