2030;Crude_oil;Liquid_fuels;Gas_fuels;Solid_fuels;Elec_heating;Steel_Iron;NonFerrousMetals;Cement;OthMin;ChemicalPharma;Paper;Auto_indus;OthEquip;Electronics;Food_industry;OthManuf;LandTransp;NavalTransp;AirTransp;AgriForest_Fish;Construction;Property_business;Compo
Crude_oil;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Liquid_fuels;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Gas_fuels;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Solid_fuels;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Elec_heating;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Steel_Iron;0.0670297;0.0845413;0.5438768;0.0116495;1.6760285;0.2728876;0.3160698;0.0596422;0.3991442;1.4585425;0.0904321;2.1477581;0.6462853;1.2249225;1.0417245;0.7586245;1.4865771;0.6838255;0.8027516;1.1404506;0.8745445;22.117765;28.795853
NonFerrousMetals;0.1150693;0.1451313;0.933669;0.0199986;2.8772248;0.4684639;0.5425945;0.1023873;0.6852076;2.5038684;0.155244;3.6870392;1.1094729;2.1028148;1.7883202;1.3023247;2.5519951;1.1739177;1.3780774;1.9578025;1.5013235;37.969391;49.433612
Cement;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
OthMin;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ChemicalPharma;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Paper;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Auto_indus;51.9717596670483;70.2861189146359;909.643844960909;10.6730773600871;2803.18817498863;251.84544872952;291.697906999988;32.3032160542142;216.183063765853;569.283376056827;76.0596928590811;407.570092935774;136.451958534034;42.3529822018331;445.697608777133;301.271323559962;5816.41958646514;2675.55292770991;3140.86651221228;569.283376056827;1795.93779978956;60.4781413100263;20489.560757237
OthEquip;64.6829433567908;101.709635254353;887.980407685676;14.9403045836442;2736.42941761287;351.688071138544;407.339812102996;53.6473335938182;359.024466496197;838.099530174907;120.142268345545;428.530531020394;243.306028588157;92.4853984183337;793.970878501596;511.448979156679;900.327814505184;414.150802194292;486.17702624035;2119.55399031794;870.50650025923;164.448157063014;8639.347904157
Electronics;19.2063866831643;47.7858492583159;121.00809426897;4.28130671968563;372.902497995266;96.0207090577094;111.215194231478;7.7341907601245;51.7595840498821;295.22382482701;30.9236192029272;149.295705424911;59.2507635566311;24.9385415630602;179.603854265078;117.249557083398;508.503400025608;233.911569583563;274.591830442045;57.2487269799296;195.319181414415;14.5928133331559;7420.8830986471
Food_industry;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
OthManuf;28.946732264562;36.5090996647929;234.87293905964;5.03083308210023;723.79213254038;117.846371721635;136.494589657783;25.7564696485552;172.370216526925;629.870916126753;39.0530395591641;927.508354043259;528.982240008188;449.868247519273;279.098024378037;327.611655834582;641.97763582313;295.309713871586;346.667921951544;492.503090073324;377.67163832997;9551.54652903989;12435.475824427
