2030;Oil;Natural_gas;Coal_lignite;Elec_heating;Steel_Iron;NonFerrousMetals;Cement;OthMin;ChemicalPharma;Paper;Auto_transport;OthEquip;Electronics;Food_industry;OthManuf;LandTransp;NavalTransp;AirTransp;AgriForest_Fish;Construction;Property_business;Compo;C;G;I;X;Tot_uses;Y;M
Oil;88457.5409697869;64977.1203910838;1.60568750804821;2071.8262061019;2023.12291861272;469.467694215089;932.63712741887;143.361494156759;579.459401445554;49.5469702183513;172.165990786507;0;0;289.074891488171;0;6098.08616956521;1537.42200143553;9908.1653868385;2637.21876264168;502.871355872881;0;5972.65994147165;17829.9147064772;0;0;0;0;106563.672882191;0
Natural_gas;2838.60731003326;0;0.00182672071450308;6276.14821281516;233.236750778597;59.4178111568481;3230.07537004591;165.274604032728;790.82222841592;829.043612620377;265.110627519068;0;0;2248.64546312491;0;832.916103204312;6.65900402754501;14.1720383506779;158.179015978859;232.422912977227;0;4015.94024546438;5613.04977444458;0;0;0;0;38012.9903980789;0
Coal_lignite;44.7463299666971;0;35.2547964295522;3325.50270704549;4459.37812543727;0.319909842736006;661.783044998102;75.2782243736008;118.845487797525;19.5110530248175;23.3076646675408;0;0;561.358253842214;0;0;0;0;4.04212514081141;133.965366750535;0;184.134497043703;21.0807189093609;0;0;0;0;28.6996091455579;0
Elec_heating;710.564038097765;44018.6598538146;0.0401878557190677;1301.07967745365;231.990159109329;350.9361705903;2232.45504157043;93.1290062505112;918.618050151883;802.099923342662;662.813064008476;0;0;2460.05687930409;0;1185.25166989882;0;0;917.189202745436;879.754687508724;0;12025.7493356804;15807.4215618422;0;0;0;0;78541.8863384417;0
Steel_Iron;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;41186.5440725143;0
NonFerrousMetals;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;19365.8223074848;0
Cement;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;38090.7402152482;0
OthMin;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12609.2674254052;0
ChemicalPharma;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;60157.9425004572;0
Paper;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;36698.4028560951;0
Auto_transport;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;197064.014415507;0
OthEquip;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Electronics;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Food_industry;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;265945.154063301;0
OthManuf;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
LandTransp;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;152126.01067714;0
NavalTransp;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;29760.736842632;0
AirTransp;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;41196.2072036943;0
AgriForest_Fish;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;159235.275690867;0
Construction;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;397384.912976022;0
Property_business;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Compo;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5337769.50835178;0
1 ktoe / ktons;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
