;Oil;Gas_heating;Coal_lignite;Electricity;Steel_Iron;NonFerrousMetals;Cement;OthMin;ChemicalPharma;Paper;Auto_transport;LandTransp;NavalTransp;AirTransp;AgriForest_Fish;Food_industry;Construction;ManufacturedGoods;Compo;C;G;I;X;Tot_uses;Y;M
Oil;23972.07773811457;3725.3647462607523;50.34898102523371;1368.291318821419;782.3176545244556;557.4678728836215;145.24084979870315;162.25372313059722;1112.692598170055;20.67414153590332;120.25295844238201;4471.115140763937;3250.344662175108;8964.266426303864;2133.9630139179044;176.69543715240295;655.2266414455368;601.107673133273;2256.9039754442488;12469.22872497762;0.0;0.0;20251.2;0;33549.616948205745;43064.23629338399
Gas_heating;769.2652809317899;0.0;0.0;4915.393316484225;175.91707581000028;149.1345212391754;1179.8385597783313;438.3014912380274;2059.014560312915;813.5297217832004;401.24675608310264;637.1388862715676;9.447551132598859;11.50044773192725;117.52189283570495;2502.3655970111176;286.3087601371587;822.6607370475896;4290.622568935769;5811.736529844806;0.0;0.0;5319.5;0;2802.4156809063015;36037.1
Coal_lignite;14.087560888410598;0.0;1082.2339485869193;1263.7793226515266;843.8265383771153;0.0;34.09789278107228;94.2359656942398;43.911514320626935;2.5779981784470687;18.835823787070467;0.0;0.0;0.0;1.957631595300514;270.22320055670923;127.19540976120544;3.489114260603537;190.85527887321754;12.907861698338007;0.0;0.0;33.2;0;899.923596003921;8160.9
Electricity;192.5635301923181;2523.74314464598;1.233666513062481;780.2292051982224;170.2234282784541;525.8345855415425;458.1353988860952;138.92680930593534;1903.73040471333;441.07377744399383;588.2912174309155;1019.1075112305263;0.0;0.0;675.586767827517;1620.1789097028638;835.2961715500893;1710.096910199676;12157.814801913084;12994.797114239584;0.0;0.0;9845.641833761314;0;45491.51130508474;1176.810674979021
Steel_Iron;54.92566076564304;3.341088534171606;4.381907904926399;15.882873576935923;668.4061038583375;516.0775901256056;14.47127761392197;153.2093439219149;135.35190913294718;11.986619094636989;1992.072212372616;5.452008052959976;4.017196598598656;0.0;10.574202236411066;8.759878242147447;4307.750384309922;6000.022506487848;8422.805741298616;0.0;0.0;66.7;16564.74187262649;0;15926.34844889797;14564.027859718037
NonFerrousMetals;83.47384853113921;9.05056091237;6.673101580705017;24.26993572816512;5268.9876944758125;944.2047374785711;12.010596269966856;249.55277367128372;244.3795263641828;10.964219000104633;4017.303947737619;9.919831126498526;7.328026348563145;0.0;16.346223820815588;12.488423611391429;1537.566226693974;8305.407986970522;19669.38261910562;222.33222552861784;0.0;114.5;11368.345564562946;0;22995.882147855747;18136.592798883936
Cement;2.6969486117720884;7.602471166390846;0.0;20.27402097701354;27.948952497555467;6.92597321916724;999.8152770282866;361.93899892195026;59.99906588862946;13.040573651495437;129.36854792322453;10.770105271552563;1.3349407923042482;0.0;33.34903542805876;29.329674330685965;2408.974823328314;316.66591059949496;1231.4368696401264;537.616206092525;0.0;0.0;31.21246147172995;0;5455.020117096752;646.1143852320657
OthMin;16.808334450551698;52.4932532917469;0.0;139.24758491140454;188.55717022061478;48.006883065315236;407.0529411327751;1308.131695716008;357.86111807701195;42.020620174259896;794.4128962156285;65.64986208653502;8.40640232098414;1.982739011030484;196.30760289483473;146.27350372907435;16169.031070321798;1667.584346595297;7724.625074215942;3574.347819074944;0.0;0.0;405.4194140775939;0;15784.73060991453;10247.6
ChemicalPharma;575.3709639656138;412.72270125586994;1.7183952568338745;2008.903221327716;54.85176165265607;445.9291371834987;42.469590031164124;290.70732204688244;14446.686204376248;365.5531689965157;1502.8331145063223;34.42459012856515;53.75361591340817;18.464445879108727;5377.05696698884;1035.673007948879;2867.5159479864406;9089.93319480205;25837.064612830265;18496.4540934119;19544.9;0.0;62554.12696608291;0;69330.83144095016;95631.6
Paper;25.982797603124535;4.323761631806403;0.0;20.64773564706329;2.8665589237870903;8.394125089362028;11.660290854395255;73.39329252646576;790.4312072591239;1247.8629020348076;85.50022265661742;18.162229899930807;18.479376362403432;0.0;60.85950106863792;1138.2356279604944;241.6930405827036;2363.691263266633;8771.053222921628;1518.7071562730184;0.0;0.0;11691.186715099817;0;16277.828730517449;7954.131253301155
Auto_transport;19.273315694211146;3.3410885339930734;0.0;16.44344558224633;5.421320180843091;30.406270925120563;4.514919270079829;28.11828733899925;36.224811454823595;15.444178475334454;39697.50728789129;235.405468660356;813.4239228116148;902.7616916631989;160.21874731248548;57.08331810877175;175.00622795714534;1372.8935800215902;19650.947093530245;69920.53847510398;145.08956172437394;35794.41634741348;117291.52894088993;0;159255.039200714;136182.0362565126
LandTransp;114.11653089501422;10.414946912469922;0.0;50.63795307563265;6.686851398796454;36.0862942562413;10.987069792295696;69.91615081097727;214.1935701754445;45.15574487602636;96.23624920512361;14122.546992213676;70.84085804631255;81.54298531576417;102.69968725637418;237.85328460712188;435.499429905929;373.8497207400724;46165.69846815338;26480.71022600446;5233.7;0.0;588.6641012563241;0;78814.83878255475;4124.903529363631
NavalTransp;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.3584222444615304;2538.612407013057;0.0;0.0;0.0;0.0;0.0;282.25804977091985;731.1863413199557;0.0;0.0;20903.992393176763;0;25442.642613790682;0.0
AirTransp;27.56290590793457;2.9477140169416174;0.0;14.668661387878773;2.7761691795668715;15.252376105482155;3.181665879489073;20.290271934420108;70.29876623405484;10.535298652547802;62.12306006463958;30.55232813459727;46.18895141481214;1776.1798855982524;5.668650871029642;57.16899306983554;108.77858134628077;127.72657391413972;4754.720478616069;7293.818420483229;5.6;0.0;16930.359555117535;0;23323.72102414732;7826.619218613053
AgriForest_Fish;0.0;3.982246801442677;0.0;10.837725499069926;0.0;0.0;0.0;0.0;40.94553700740745;57.969821431736236;0.0;0.0;0.0;0.0;12183.605453458606;26911.870309738846;633.7800605745869;2952.1946386141085;5175.722876647152;24807.398759120286;0.0;1635.360403803594;19991.958492068647;0;77118.84118398548;14502.746776888693
Food_industry;21.998023079288494;4.249978378039899;0.0;26.627170405770467;10.1449140446775;58.91368601149384;4.7109477652452885;29.871908884820737;1329.4633400067337;105.14376519850249;116.03332471192968;14.093836293379477;67.65334764079586;149.92671319507824;4244.409120189394;19059.38268724924;417.66503647795656;2306.9424895324605;31797.456380522344;83859.13605298796;160.7;0.0;22563.167639248102;0;128019.05060032308;39817.386666238526
Construction;348.30104639389475;347.276672886162;1.0023972331530333;944.0032625478615;102.04692494707123;25.947435453733746;15.799781432021312;76.98652278144301;178.050467470093;32.30196093981165;924.3257414163342;79.63333066132303;117.29679761337138;85.6351057847042;323.8349796729875;194.00577504252374;50599.09757368364;2110.727035912611;27453.42457284729;14453.941964251115;0.0;281712.80700336787;0.0;0;377303.0154355918;0.0
ManufacturedGoods;822.1088721383223;869.4691571507326;19.5324260860122;1273.619603513333;1108.3011825227156;1471.026297385653;191.6052618332995;796.2704669109788;3604.6266942805723;1674.091799361474;33142.72624631633;811.6972894649583;228.57877956284298;1111.4061832078905;2790.667601775966;3744.0154899939785;36425.4048148956;63498.09908591978;136503.0820709884;106660.0696801246;2599.384141766864;53530.763629333356;82130.55715711584;0;276063.7586006203;191311.06423222818
Compo;6943.853325673062;1720.8571297119831;327.49375383069537;9162.26919488783;3026.2071353782335;16532.23943512471;1146.3329953529546;7257.0359768220005;24613.646303791753;8605.311014023318;80702.21456457171;20123.62748856907;11884.176908807085;6073.804615825496;11255.614319363336;30801.813215772247;130258.23989813491;138233.7624921716;1299289.128940204;1012383.2134938937;706398.0431798674;208308.2;238172.73887348847;0;3402298.2084265593;260883.18521829305
