;Oil;Gas_heating;Coal_lignite;Electricity;Steel_Iron;NonFerrousMetals;Cement;OthMin;ChemicalPharma;Paper;Auto_transport;LandTransp;NavalTransp;AirTransp;AgriForest_Fish;Food_industry;Construction;ManufacturedGoods;Compo;C;G;I;X;Tot_uses;Y;M
Oil;5632.782873003965;1014.9802648324446;21.310550782569152;1010.3381087035526;796.7269605356156;617.9709937628949;27.90212500961129;32.66317300033284;362.5639862343886;2.959946133286037;17.526728715425673;95.52987642471773;2976.081473611898;11245.918827847989;2060.429033686382;21.196904841734426;604.1459506239097;87.65807843683761;626.3166693949225;1528.737192140515;0.0;0.0;20251.2;0;21294.751139562944;14042.347655024188
Gas_heating;180.7563093810387;0.0;0.0;3925.0010240885886;127.10310027793739;104.57550067683195;1461.133062326232;568.7734892385596;1828.699972020339;751.0132113827057;401.29043746484564;3520.1895999653602;54.004679247987816;40.24268599114554;150.01238935551248;1867.5528117628335;419.51620016953;722.6306902328439;4930.839146701195;7385.499499518187;0.0;0.0;5319.5;0;3816.184942176068;36037.1
Coal_lignite;8.941714707064268;0.0;452.6103586828982;309.88524616150545;122.78388664702658;0.0;6.146126414636011;131.3685793902409;6.392508489105293;0.0;23.88704697575226;0.0;0.0;0.0;2.1682593246837105;256.3357872242299;129.6155437764788;0.0;261.08810241709114;9.180185852768552;0.0;0.0;33.2;0;380.898820642712;8160.9
Electricity;45.24716493580357;687.5969393751911;0.0;953.4926894784032;215.57538030704396;423.8757424223303;732.884658546702;233.03643990705186;2944.8206607782076;525.2702448198886;699.8184818100997;2372.424217047969;0.0;0.0;878.775255504968;1412.8581628106965;851.1892661310271;1730.7232846739578;13691.76805080157;16230.755574281115;0.0;0.0;155.20754714814348;0;53462.62954237287;1120.578070938406
Steel_Iron;114.91479248614776;23.36510804865588;1.8546725083805558;12.271417673142144;791.7948817939042;653.3121873849177;18.368964799394472;213.18490959125072;126.2721254037607;12.1157772543987;1872.30270540215;8.666090427396847;4.420107963228019;0.0;22.858583240990082;8.30968725321582;4846.13250979992;6122.184702604078;13297.007428248891;0.0;0.0;66.7;16194.295648021387;0;16219.691731020412;15810.313052298066
NonFerrousMetals;174.64296007401285;12.32458642997027;2.8244359114554025;28.52256488359536;5505.046856718571;1036.1578617674545;13.497489861298359;370.3195630948598;242.05784617197247;7.64487952651843;6260.098057701844;13.68773537062052;7.062576502060718;0.0;18.104965361171338;12.443549789441064;1522.8307264172429;7453.2331911926985;27268.92873514889;172.44708001440267;0.0;114.5;12595.318282483342;0;25491.671959240448;18415.704351494274
Cement;5.642522746138326;10.352652601175087;0.0;15.664103733270808;28.832742473724643;7.822313252247121;1102.3934243204862;519.2979528405909;52.21004178401177;14.260090964782787;163.92101887334425;15.096341559345237;1.2878652790593306;0.0;39.36532537485401;27.87281497361248;2439.440339204031;283.45558168366085;1681.0318285693136;845.3116395192959;0.0;0.0;0.0;0;6011.053807186142;731.8619445287674
OthMin;10.668655315725838;71.48260129382878;0.0;163.64683944796596;195.61602852356168;53.27878152368721;446.53884666962387;2012.694541343762;287.0878484102199;28.962191398895154;945.3912172374854;94.681543869571;8.209484214606954;2.746056752844194;217.25182233509804;148.2172447024914;16097.940350170587;1520.1819362327262;10552.068594452227;5620.872266460508;0.0;0.0;1236.4978678081332;0;22004.52471628752;10247.6
ChemicalPharma;1203.7840595377477;2886.278052739515;0.0;1552.1177810822976;78.76187100645842;505.12313372922887;46.59461001947969;417.15990110257775;12324.27133314663;249.38308347768347;1904.218137267737;46.62218171917477;51.85804190814062;25.380948221977274;5897.380599057168;991.2415339879886;2917.667844691557;9126.452841353206;35205.952414545485;15746.670020830377;19544.9;0.0;47234.1157609319;0;58675.117958339426;95631.6
Paper;54.36088987556087;30.237198654315016;0.0;15.95284297224006;2.9193573292595807;4.702725327587043;6.480639066573158;53.422711817213305;526.877306220881;739.1267270787213;54.89418925705339;16.95764083995184;9.03329044354079;0.0;33.394821772751094;859.6252787744951;124.60840664299346;1646.2371287869946;6721.154404170065;570.3131353172334;0.0;0.0;15483.251656965667;0;16453.22551147386;5200.650595909851
