;Oil;Gas_heating;Coal_lignite;Electricity;Steel_Iron;NonFerrousMetals;Cement;OthMin;ChemicalPharma;Paper;Auto_transport;LandTransp;NavalTransp;AirTransp;AgriForest_Fish;Food_industry;Construction;ManufacturedGoods;Compo;C;G;I;X;Tot_uses;Y;M
Oil;33144.56706249208;5504.704242692962;126.79970779544591;1004.2968764949891;852.7056087952628;653.5690540574983;201.7551670755832;365.8741822960226;1630.7881810269314;36.86888121501303;194.90182958745785;9250.002116215297;3946.406567637413;9888.098601542973;2299.0474004272264;274.7781260279487;599.9083221776724;872.084882925892;3183.3352467340924;17003.230976238363;0.0;0.0;20251.2;0;41287.630710989404;58733.790125028776
Gas_heating;1063.6109634831298;0.0;0.0;5792.914511386721;193.48024926548902;209.77796474903516;914.4932079036531;551.8120127865092;2373.4478329668013;808.086943849357;433.2690113106861;62.05389478084981;15.097528726660899;13.31810490502046;143.3586197005697;2508.551690907357;395.72340929580815;880.3575850115254;6522.508850283084;11026.412741933458;0.0;0.0;5319.5;0;3696.626095758794;36037.1
Coal_lignite;17.336770565136995;0.0;2746.19448710927;927.5869810478599;2486.2473388142007;0.0;99.47166471906934;127.44383345014144;191.19465773582107;9.664154762996612;20.890739365126002;0.0;0.0;0.0;1.9904083600009377;257.3169356726433;116.30495938307783;16.30850640981709;230.57733145303678;23.297593207061027;0.0;0.0;33.2;0;2266.382490528157;8160.9
Electricity;266.244541232529;3729.154282411352;3.1304582360801776;808.6186203024243;149.57253159133572;636.4384990005746;403.65924389705316;198.62534572859488;2075.7248291498613;499.079103473848;596.1461447362732;885.1931700065118;0.0;0.0;606.2713646747975;1458.5722583894699;763.7782486597561;1560.2601945296813;15895.433268247489;15431.434913826202;0.0;0.0;5727.158490630526;0;47884.37865119251;1408.4567790230074
Steel_Iron;69.1603660736557;10.978372209146421;11.035469449774089;16.805008168075112;898.7477199319686;739.0801938411037;16.98391109778185;207.04719936200107;204.0727280195537;13.140093731542134;2148.114610604289;7.918454532333213;5.793713286118091;0.0;11.963199466456114;8.341493333995956;4724.845217154715;7879.144017289897;9887.940564099721;0.0;0.0;66.7;16703.50041420247;0;17359.299731332474;18287.65884520975
NonFerrousMetals;105.10719107009344;11.938464331994323;16.805649554231405;25.546541737285974;5843.431517024961;1092.1827875869699;11.901385540750733;328.1024631967414;297.12912091286427;16.345782591719836;4414.572351528879;11.82199319684543;8.64255280504599;0.0;16.619909806065067;12.505111825136579;1408.802972274312;8938.329378014276;18922.460341287646;225.79715320062243;0.0;114.5;13673.301029778548;0;26960.113171812096;19556.33271556825
Cement;3.395898214344792;10.028310038875292;0.0;21.45109865407312;30.42635281317874;8.187498178695671;946.3012787097358;454.6121858021997;71.9439344856627;13.99977168890541;143.4179631547167;13.075537139326963;1.5714447713555026;0.0;32.96484965951437;27.6484797605904;2202.9632187664374;335.2614825190622;1176.8992023317435;467.9159376237685;0.0;0.0;76.86960028100785;0;5176.878243296145;604.5025954236341
OthMin;20.685073893169854;69.24309312556825;0.0;146.5720502764764;209.3426924903151;56.48465388791464;391.3772223797247;2138.7432735321504;479.28672398937124;75.41980236582636;954.6532119020391;90.00443371281881;10.848840781682801;2.3700253194534526;228.44762746300452;178.53946718095764;15265.140923048839;2022.0531157447895;8191.925182872745;3110.986997708667;0.0;0.0;3334.957200259031;0;21347.121176986682;10247.6
ChemicalPharma;724.4858946939258;1356.1518608941963;4.327635078342762;2125.5369742418575;91.23329202624328;529.4626298072923;40.45299726461397;335.60610522131503;17368.82793932673;598.1062518963306;1666.040685422039;39.83265089216649;63.27684280772553;20.642026416780197;5146.635902653489;971.5859596576831;2620.4655149214914;9972.553025016206;24600.20994319593;21987.192900979113;19544.9;0.0;79203.04533003806;0;84262.91728527169;95631.6
Paper;32.71658036210125;14.207305213186935;0.0;21.84651061106167;3.1244736177418755;13.574773513213572;17.95739243693851;149.63496141676058;1035.0155489373235;2103.6434528941118;153.45106398008963;25.38410664802664;35.21774452200418;1.400750208978788;100.21796581592251;1177.9634171851346;357.552246696849;2724.118106729518;10810.82536476821;2506.972837201849;0.0;0.0;10772.63191411922;0;17844.247287434675;10837.531539820724
