2050;Crude_oil;Liquid_fuels;Gas_fuels;Solid_fuels;Elec_heating;Steel_Iron;NonFerrousMetals;Cement;OthMin;ChemicalPharma;Paper;Auto_indus;OthEquip;Electronics;Food_industry;OthManuf;LandTransp;NavalTransp;AirTransp;AgriForest_Fish;Construction;Property_business;Compo;C;G;I;X;Tot_uses;Y;M
Crude_oil;0.0;36716.58723;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;639.8543276;36508.10525
Liquid_fuels;100.1225891;1424.997652;0.0;0.0;1253.433012;1311.0299653239874;305.94373750115614;243.43617602984182;379.01595474966365;1869.1292735403051;25.07042383158932;327.98554265530095;53.73407373278659;134.75269580087163;25.41366901913393;99.28542252883013;6096.506453;3731.568;10016.49395;1772.081142;706.0380505;1.657536985;544.260287;8271.022702;0;0;0;0;45102.83481;3180.684194
Gas_fuels;22.53583432;23.35299559;813.0160112;0.0;2309.374814;549.020817773603;118.33826147281209;1122.9646539994403;412.02297945834636;2108.1799709357515;886.3315472861229;277.92269358172877;161.79529485556486;79.76167547136123;2258.8593697858028;538.9558993557815;1269.087285;4.601414091;17.1915851;204.6629992;400.8788853;764.4993532;5796.580047;7828.402147;0;0;0;0;601.1906664;24945.33931
Solid_fuels;0.0;3610.256111;634.7409582;196.0283988;1648.813952;2352.901749757989;0.5274489219394918;304.44421819010563;613.3290039100618;2190.271162475527;15.745631245239506;24.375445071718996;7.019143014871797;3.6418750032224607;427.44531496659897;16.77077243716638;0.0;0.0;0.0;14.07696703;98.22464367;0.340488817;147.7512749;37.34805551;0;0;0;0;4125.528962;2895.965935
Elec_heating;20.07065243;281.6630253;60.92258388;0.0;810.2282087;391.6391964588951;1072.7191901442245;756.2342354582605;557.1296602459105;3981.7893794280553;877.0017423158502;897.1442334983374;519.4987017531618;331.9454795324378;3451.068155355005;1985.9733799626565;2214.57248;17.44527212;0.0;586.0574565;837.7191586;429.6272135;15303.80867;23396.88196;0;0;0;0;50899.65958;0.0
Steel_Iron;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;26690.49229;0.0
NonFerrousMetals;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;34212.93264;0.0
Cement;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;7024.009883;0.0
OthMin;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;32423.81686;0.0
ChemicalPharma;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;129130.2203;0.0
Paper;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;26479.0408;0.0
Auto_indus;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;206669.8321;0.0
OthEquip;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;82092.2901;0.0
Electronics;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;36400.43132;0.0
Food_industry;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;189970.7258;0.0
OthManuf;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;299218.0292;0.0
LandTransp;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;131344.5958;0.0
