;2030;2040;2050
Crude_oil;0.10321023122646307;0.14942737003740328;0.19782308524755152
Liquid_fuels;0.015858377496749215;0.022959697059490646;0.030395757534383932
Gas_fuels;1.0611294706849659;1.3261106263030744;1.4620073928843271
Solid_fuels;0.00510348375069621;0.004633665688291417;0.005092992176506356
Elec_heating;0.13142675638631104;0.177789442753945;0.2510061146881051
Steel_Iron;0.05756525444300015;0.06184780959669486;0.061924851824178125
NonFerrousMetals;0.04896064776024371;0.052841943617595435;0.05315424556234058
Cement;0.08970288710413774;0.10272552533534299;0.10586401566032763
OthMin;0.04735586272093541;0.05110398011983583;0.05096048727131761
ChemicalPharma;0.05343394466137548;0.057145998839762985;0.05602255997436738
Paper;0.075328667124712;0.07982570171571854;0.07905354905948286
Auto_indus;0.06598029760050088;0.07237542139051839;0.07586175828365098
OthEquip;0.02986049692429413;0.032376983040356945;0.03231143932721971
Electronics;0.18671829498485382;0.20245393388381738;0.2020440877116325
Food_industry;0.04801294056558599;0.05160132506209002;0.051114597982739964
OthManuf;0.04290793446723105;0.046531713306265904;0.04645723706707957
LandTransp;0.18159695450881735;0.23023057973784108;0.2646858889641955
NavalTransp;0.112636149678177;0.12036481011994553;0.12166673259997843
AirTransp;0.1332141244201499;0.14231130752599253;0.1391030448462026
AgriForest_Fish;0.16852542159812142;0.16751412355355608;0.1625239353607672
Construction;0.035890987098756946;0.041364563198684104;0.04252881115504181
Property_business;0.2478447697593639;0.2620762240737311;0.26023309669038547
Compo;0.11137707771238041;0.11653979547609972;0.11521215709605967
