;Crude_oil;Natural_gas;Coal;Fuels;OthFuels;Electricty;HeatGeoSol_Th;Heavy_Industry;Buildings_constr;Work_constr;Automobile;Load_PipeTransp;PassTransp;Agri_Food_industry;Property_business;OthSectors;C;G;I;X;Tot_uses;Y;M
Crude_oil;0.0000;0.0000;0.0000;36262.4494;8037.5506;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;44300.0000;990.0000;43310.0000
Natural_gas;0.5836;0.0000;0.2172;641.6496;142.2213;5709.9534;1797.3058;7640.6990;0.0061;0.0323;0.4359;54.4013;30.3292;2894.7175;0.0004;7692.8094;7826.4342;0.0000;0.0000;0.0000;34431.7959;18.8745;34412.9214
Coal;0.0000;0.0000;3001.2646;0.0000;0.0000;724.2767;124.0878;3123.9629;0.0000;0.0000;0.0000;0.0000;0.0000;2.2137;0.0000;23.1934;0.0000;0.0000;0.0000;0.0000;6998.9991;2784.4000;4214.5991
Fuels;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0031;0.0535;0.0760;12511.6581;901.0767;2404.9025;0.0001;9067.2356;21513.5283;0.0000;0.0000;0.0000;46398.5339;32816.5036;13582.0303
OthFuels;0.0000;0.0000;0.0000;0.0000;0.0000;1582.6784;238.4600;2739.1229;0.0100;0.0269;0.0488;2804.4646;267.2397;713.2416;0.0000;5823.8448;3839.6954;0.0000;0.0000;0.0000;18008.8331;7273.7588;10735.0743
Electricty;77.6120;3.5365;28.8486;1073.1333;237.8594;0.0000;1361.2974;6540.0334;0.0030;0.0451;0.5975;165.2366;1053.0750;2503.8760;0.0006;16793.8105;13861.6674;0.0000;0.0000;7402.9998;51103.6321;51103.6321;0.0000
HeatGeoSol_Th;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;571.7860;0.0000;0.0063;0.0000;0.0000;0.0000;149.6087;0.0001;614.4409;1262.2444;0.0000;0.0000;0.0000;2598.0862;2598.0862;0.0000
Heavy_Industry;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;160355.7900;0.0000
Buildings_constr;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;53504.2019;0.0000
Work_constr;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;236677.4459;0.0000
Automobile;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;2140.0000;0.0000;0.0000;0.0000;0.0000;2728.7269;0.0000
Load_PipeTransp;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;398756.9000;0.0000
PassTransp;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;216893.3000;0.0000;0.0000;0.0000;0.0000;216893.3000;0.0000
Agri_Food_industry;0.0000;0.2750;0.4738;10.6408;3.2273;41.0140;0.7403;2135.0679;56.4797;662.0288;96.5841;15.4883;4.1785;65691.5081;134.4025;39903.3342;114532.6752;0.0000;0.0000;0.0000;0.0000;208235.5665;0.0000
Property_business;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;2777786.2310;0.0000;0.0000;0.0000;0.0000;4010059.6286;0.0000
OthSectors;88.1402;59.1561;102.7705;1921.8688;610.4956;9830.9276;173.0496;57080.6770;14913.1230;79847.3946;33934.3352;19885.2632;5364.6926;43348.1978;45189.9912;1300924.3935;0.0000;0.0000;0.0000;0.0000;0.0000;3232406.7152;0.0000
ktoe_ktons;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000
