;Crude_oil;Natural_gas;Coal;AllFuels;Electricity;HeatGeoSol_Th;Heavy_Industry;Buildings_constr;Work_constr;Automobile;Load_PipeTransp;PassTransp;Agri_Food_industry;Property_business;OthSectors;C;G;I;X;Tot_uses;Y;M
Crude_oil;0;0;0;40735.5686039622;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;40735.5686039622;600;40135.5686039622
Natural_gas;0.2603473726;0;0.1228763096;403.1189259342;4604.2321863365;1757.6758600924;5186.3232847692;28.8328914066;225.6140274038;155.2015700527;864.6951468315;65.7779312673;3078.138830517;182.4555897742;4277.25454376;8464.488273443;0;0;0;29294.1922852707;3088.6917613138;26205.5005239569
Coal;0;0;2140.4310060695;0;0;0;2140.4310060695;0;0;0;0;0;2.2137192705;0;0;0;0;0;0;4283.0757314094;2140.4310060695;2142.6447253399
AllFuels;0;0;0;0;808.6852722983;269.5147277017;910.4747107299;61.9427214966;562.3358453999;44.4360577686;11380.422773732;847.6152344427;2288.1607523134;50.2972013113;1897.6395037533;18478.80282675;0;0;0;37600.3276276978;35010.3082834096;2590.0193442882
Electricity;23.6782674446;51.9861552248;11.1634869682;707.0141963734;0;1558.1785302745;6083.1915595602;14.24568534;314.9101990659;212.7528101202;690.9516591114;1027.6496178159;2478.6602322563;254.6700083929;15122.7653454234;13324.9505285433;0;0;5338.3880114908;47215.1562934057;47215.1562934057;0
HeatGeoSol_Th;0;0;0;0;0;0;801.1257189002;0;43.7022823446;0;0;0;187.3386438249;35.3423315237;2684.5367401608;2155.579028091;0;0;0;5907.6247448452;5907.6247448452;0
Heavy_Industry;0;597.96665;53.564869;458.90631;2093.2548;44.386341;40632.831;2206.9819;15400.172;4893.8877;151.72254;39.58505;9213.4819;279.68753;61813.99;30207.156;18022.301;104.50134;82830.536;269044.91293;160355.79001785;0
Buildings_constr;0;0;0;0;0;0;0;1475.3979;0;0;0;0;0;2.826678;0;0;0;39029.751;0;40507.975578;53504.2018648551;0
Work_constr;1.42935;421.71975;3.635659;215.201788;820.69788;20.765562;589.20427;11894.203;16014.249;286.2934;71.925977;18.765791;485.87944;4281.7077;18313.556;11479.046;0;114269.97;0;179188.250567;236677.445938304;0
Automobile;0;0.173247;0.012898;0.483123;0.606472;0.01286;4.848412;0.242911;4.06087;350.61128;9.654702;2.518952;9.00222;0.483526;259.05322;2140;0;457.215;1517.2102;4756.189893;2725.5993045608;0
Load_PipeTransp;0;73.386389;5.584991;386.07568;256.89796;5.447383;2608.6509;269.72895;1198.5674;287.91256;80195.247;20923.278;1979.4175;680.24721;211205.28;5683.2769;24790.997;0;7299.4709;357849.466723;367237.660965215;0
PassTransp;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;224894.23486499;0;0;0;224894.23486499;224894.23486499;0
Agri_Food_industry;0;70.1613774056;0.3642153407;18.5791179154;37.8931993207;1.683349144;2135.0679416597;56.4797415183;662.0287721649;96.473383708;14.2640759579;4.3326174792;65691.5080996084;134.4024897535;39903.3341535837;114532.675193537;145.03184;930.96627;27838.943;252274.188838097;208235.566524538;0
Property_business;0;851.45223;57.451381;1178.73023;1656.9891;41.925672;23613.793;11746.856;5993.6645;2094.8376;9929.4892;2590.6456;6378.0949;123138.87;674605.8;2777786.23094733;183264.68;85750.13;0;3910679.64036033;4010059.62864439;0
OthSectors;214.23312;1994.0293;125.09722;3862.2404;7777.7023;160.83157;58778.498;11290.71;60452.38;34655.3;17392.948;4537.8935;39852.266;41545.523;980621.28;522226.03;469111.95;175274.22;279122.74;2708995.87241;3232406.71518614;0
ktoe_ktons;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
